BESTDATE,BESTSTAT,NAMEADDR,Alias,LANDUSE,CASENO,PLNDESC,BPAPPLNO,DBIDESC,FirstFiled,COST,PROPUSE,APN,EntitlementStatus,NEIGHBORHOOD,PLANAREA,PLANDISTRICT,SUPDIST,ZONING,ZONEDISTRICTNAME,HEIGHTLIMIT,UNITS,UNITSNET,AFFORDABLE,AFFORDABLE_NET,RETAILCOMM_EXISTING,RETAILCOMM_PROPOSED,RETAILCOMM_NET,OFFICE_EXISTING,OFFICE_PROPOSED,OFFICE_NET,INDUSTRIAL_EXISTING,INDUSTRIAL_PROPOSED,INDUSTRIAL_NET,MEDICAL_EXISTING,MEDICAL_PROPOSED,MEDICAL_NET,VISITOR_EXISTING,VISITOR_PROPOSED,VISITOR_NET,CIE_EXISTING,CIE_PROPOSED,CIE_NET,SPONSOR,CONTACT,CONTACTPH,PLANNER,LOCATION
12/01/2006,BP FILED,1698 10TH AV,,Resident,2007.0530,The proposal is to construct a horizontal addition to northern side of the subject dwelling in order to incorporate a second dwelling unit and a second parking space in Zoning District RH-2. The addition is two stories and approximately 420 square feet o,200612018971,HORIZONTAL ADDITION TO CONVERSE A SINGLE FAMILY DWELLING TO 2 UNIT RESIDENCE APPROX 397 SF ON 1/F AND 418 SF ON 2/F),12/01/2006,$80000.00,2 FAMILY DWELLING,APN 1934023,0,Inner Sunset,,Inner Sunset,SUPERVISORIAL DISTRICT 7,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7567248430, -122.466662)"
06/10/2014,BP FILED,1699 MARKET ST,FLAX SITE,Mixres,2014.0484,"The proposed project would demolish an existing 60 year old 1 & 2 story industrial/commercial building and surface parking lot and construct a new 9-story residential (162 units) and commercial (3,937 sf) building with 97 below-grade parking spaces.",201406108024,"TO ERECT 9 STORIES, 1 BASEMENT, 160 RESIDENTIAL, COMMERCIAL & BELOW GRADE PARKING BUILDING.",03/28/2014,$38000000.00,APARTMENTS,APN 3504030,0,South of Market,Market and Octavia,Mission,SUPERVISORIAL DISTRICT 6,NCT-3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,85-X,160,160,0,0,22170,3664,-18506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,DVU,"(37.7723347315, -122.421943)"
01/19/2016,BP REINSTATED,17 GRACE ST,,Resident,2014-002016PRJ,"The proposed project is to construct a five-story, 45-foot tall residential building on two adjacent lots that total 2,840 square feet. The proposed 10,249 gross square foot building would be accessed exclusively off Grace Street that includes thirteen d",201601126879,ERECT 5 STORIES OF 13 DWELLING UNIT (APARMENT) WITH TYPE 5 CONSTRUCTION. N/A FOR MAHER ORDINANCE NO 155-13.,11/24/2014,$2000000.00,APARTMENTS,APN 3509026,-1,South of Market,Western SoMa (EN); South of Market,Downtown,SUPERVISORIAL DISTRICT 6,RED-MX,RESIDENTIAL ENCLAVE-MIXED,45-X,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7751571754, -122.414565)"
01/07/2016,BP Filed,17 OTTAWA AV,,Resident,2016-000539PRJ,,201601076555,"LEGALIZE BASEMENT UNIT PER ORDINANCE# 43-14 - A BEDROOM, 1 STUDY ROOM, 1 BATHROOM 1 KITCHEN",01/07/2016,$8000.00,2 FAMILY DWELLING,APN 7044A018,0,Outer Mission,,South Central,SUPERVISORIAL DISTRICT 11,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7138227243, -122.444312)"
01/08/2016,PL Filed,1700 CALIFORNIA ST,,Mixres,2016-000375PRJ,"Project proposes to convert garage space into five new dwelling units, and residential amenity space; Merge 12 units into seven units on the 7th, 9th, and 10th floors; Demolish the 1,019 sqft one-story portion of the building at the NW corner of the prop",,,01/08/2016,$0.00,,APN 0642036,0,Pacific Heights,Van Ness Corridor,Marina,SUPERVISORIAL DISTRICT 2,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",80-D,47,5,0,0,7713,7542,-171,78977,84628,5651,0,0,0,0,0,0,0,0,0,0,0,0,"Reuben, Junius & Rose LLP",,4155679000,CMAY,"(37.7904954065, -122.423027)"
04/07/2016,BP FILED,1700 MARKET ST,,Mixres,2013.1179,"43 unit,  8 story residential building with ground floor commerical.",201604074244,CONSTRUCT (N) MIXED-USED BUILDING (APARTMENT & COMMERCIAL),07/02/2014,$6500000.00,APARTMENTS,APN 0855016,-1,Western Addition,Market and Octavia,Buena Vista,SUPERVISORIAL DISTRICT 5,NCT-3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,85-X,42,42,5,5,3400,1753,-1647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warner Schmalz,Warner Schmalz,415-252-7063,TCHANG,"(37.7729534144, -122.422447)"
01/08/2013,CONSTRUCTION,1701 09TH AV,,Resident,2009.0129,"Demo existing commercial building, subdivide lot into 3 lots and construct three 2-unit residential buildings.",200904065665,Multiple Permits,02/24/2009,$600000.00,2 FAMILY DWELLING,APN 2040001,-1,Inner Sunset,,Inner Sunset,SUPERVISORIAL DISTRICT 7,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,6,6,0,0,4595,0,-4595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7563826347, -122.466062)"
04/26/2010,BP FILED,1710 OAKDALE AV,,Resident,,,201004261017,"ADD ONE UNIT TO (E) SINGLE FAMILY BUILDING. Replace front door and steps, replace rolling up garage",04/26/2010,$10000.00,2 FAMILY DWELLING,APN 5312049,0,Bayview,Bayview Hunters Point,South Bayshore,SUPERVISORIAL DISTRICT 10,C-2,COMMUNITY BUSINESS,40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7360344384, -122.392332)"
03/19/2015,BP FILED,1715 26TH AV,,Resident,,,201503191302,LEGALIZE IN-LAW DWELLING UNIT UNDER ORDINANCE NO# 43-14. LEGALIZE & REMODEL (E) ROOM ON THE GROUND F,03/19/2015,$45000.00,2 FAMILY DWELLING,APN 2023004,0,Outer Sunset,,Outer Sunset,SUPERVISORIAL DISTRICT 4,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7554179313, -122.484343)"
07/14/2015,PL FILED,1726 - 1730 MISSION ST,,Mixres,2014-002026PRJ,"Demolition of an existing vacant two (2) story industrial building.  New construction of a six (6) story, 68 ft tall mixed-use building.  Including: ground floor commercial space, an at-grade 29 car parking garage and 36 dwelling units on five (5) storie",,,11/24/2014,$0.00,,APN 3532005,0,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,UMU,URBAN MIXED USE,68-X,36,36,0,0,0,900,900,0,0,0,15600,0,-15600,0,0,0,0,0,0,0,0,0,,,,,"(37.7693593026, -122.420399)"
01/23/2013,BP FILED,1727 LOMBARD ST,,Resident,2012.0095,"Group housing for post-secondary educational institution (Academy of Art University).   Subject property contains 52 guest rooms and is currently a tourist motel.  Property features split-zoning, with front portion zoned NC-3 (group housing is principall",201301238540,TO DUCUMENT CHANGE OF USE UNDER PLANNING CODE SECTION 182 (C). FROM HOTEL TO GROUP HOUSING.,01/31/2012,$1.00,MISC GROUP RESIDNS.,APN 0506036,0,Marina,,Marina,SUPERVISORIAL DISTRICT 2,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,0,-16000,0,0,0,Elisa Stephens,Bob Passmore,415-567-9872,EWATTY,"(37.8003213900, -122.430031)"
02/24/2015,BP ISSUED,1731 - 1741 POWELL ST,,Mixres,2007.1117,"The project would renovate a gutted theater into 3,500 square feet of commercial space and 17 residential condominiums with 20 parking spaces.",200908124639,PER SF PLANNING MOTION 17797 PERMITTING THE CONVERSION OF EXISTING THEATER TO MIX USE BUILDING WITH,12/15/2008,$500000.00,THEATER,APN 0101004,-1,Russian Hill,,Northeast,SUPERVISORIAL DISTRICT 3,NCD-NORTH BEACH,NORTH BEACH NEIGHBORHOOD COMMERCIAL,40-X,19,18,0,0,0,3525,3525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,TFRYE,"(37.8006826227, -122.411288)"
09/24/2010,BP FILED,1734 NEWCOMB AV,,Resident,2010.0444,Addition of a dwelling unit in the basement of an existing single family residence.,201009241613,CREATING AN IN-LAW UNIT. REMOVE (E) BSMT STAIRS&CHIMNEY.REPAIR 2/FL USING MATCHING MATERIAL.REPAIR 3,06/10/2010,$0.00,,APN 5305010,-1,Bayview,Bayview Hunters Point,South Bayshore,SUPERVISORIAL DISTRICT 10,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Horace Johnson,Horace Johnson,415-573-8334,BFU,"(37.7368796118, -122.392156)"
10/20/2015,BP FILED,1738 FILBERT ST,,Resident,,,201511203266,"PER CITY ORDINANCE 146-15, LEGALIZE EXISTING IN LAW UNI IN FRONT DETACHED HOUSE PER ORDINANCE 146-25",12/20/2015,$0.00,2 FAMILY DWELLING,APN 0520008,0,Marina,,Marina,SUPERVISORIAL DISTRICT 2,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7993028970, -122.428160)"
03/03/2016,PL FILED,1740 MARKET ST,,Mixres,2014.0409,"The proposed project is to demolish the existing 25,108 square foot commercial building and construct an 9-story, 85-foot tall mixed use building.  The existing building on the 13, 642 square foot subject lot was constructed in 1940.  The proposed new bu",,,03/18/2014,$0.00,,APN 0855010,0,Western Addition,Market and Octavia,Buena Vista,SUPERVISORIAL DISTRICT 5,NCT-3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,85-X,100,100,0,0,0,7630,7630,25108,0,-25108,0,0,0,0,0,0,0,0,0,0,0,0,,,,TCHANG,"(37.7725441769, -122.423102)"
06/25/2013,BP FILED,1748 OAKDALE AV,,Resident,,,201306250390,"LEGALIZE PRE-EXISTING AS BUILT STRUCTURE - 2 STORY OVER BASEMENT WITH GARAGE.(5 BDROOMS, 2 LIVING RM",06/25/2013,$20000.00,2 FAMILY DWELLING,APN 5312013,0,Bayview,Bayview Hunters Point,South Bayshore,SUPERVISORIAL DISTRICT 10,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7363734006, -122.392930)"
10/05/2015,CONSTRUCTION,1749 DOLORES ST,,Resident,,,201312305300,"HORIZONTAL FRONT ADDITION ON UPPER CREAT NEW 2ND DWELLING UNIT ON LOWER LEVEL, (NO INCREASE IN SQ FT",12/30/2013,$50000.00,2 FAMILY DWELLING,APN 6659006,-1,Bernal Heights,,Central,SUPERVISORIAL DISTRICT 8,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7416204681, -122.423846)"
11/24/2015,BP ISSUED,175 BREWSTER ST,,Resident,,,201305157021,"ERECT 4 STORY, TYPE 5, SINGLE FAMILY DWELLING BUILDING.",05/15/2013,$150000.00,1 FAMILY,APN 5577012,-1,Bernal Heights,,Bernal Heights,SUPERVISORIAL DISTRICT 9,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chad Hami,Chris Fol,577-9885,MSNYDER,"(37.7436782801, -122.407147)"
01/22/2016,BP ISSUED,175 MAYNARD ST,,Resident,,,201505287372,"UNIT LEGALIZATION ORDINANCE# 43-14. 1 BEDROOM, 1 BATH, 1 KITCHEN. 1 HOUR CORRIDER THROUGH GARAGE. CE",05/28/2015,$20300.00,2 FAMILY DWELLING,APN 5891004A,-1,Excelsior,,South Central,SUPERVISORIAL DISTRICT 11,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7295896209, -122.426603)"
06/01/2015,CONSTRUCTION,1756 REVERE AV,,Resident,,,201310159297,"HORIZONTAL EXTENSION AT REAR (APPROX 20'-0""). CHANGE OF USE FROM SINGLE FAMILY TO 2 UNITS. 2 NEW BED",10/15/2013,$75000.00,2 FAMILY DWELLING,APN 5338018,-1,Bayview,Bayview Hunters Point,South Bayshore,SUPERVISORIAL DISTRICT 10,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7334393463, -122.392753)"
12/08/2015,CONSTRUCTION,1758 12TH AV,,Resident,,,201305298094,ERECT 3-STORY TYPE V SINGLE FAMILY RESIDENCE.,05/29/2013,$500000.00,1 FAMILY DWELLING,APN 2038A019,-1,Inner Sunset,,Inner Sunset,SUPERVISORIAL DISTRICT 7,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7553555415, -122.468599)"
06/20/2013,PL APPROVED,1759 LINCOLN WY,,Retail/Ent,2011.0099,Demolish exiting service station building of approx. 2350 square feet and reconstruct a new building of approx. 3700 square foot building containing a convenience store and automatic car wash. Alterations to the existing pumps and tanks is not proposed.,,,02/03/2011,$250000.00,,APN 1732043,-1,Inner Sunset,,Inner Sunset,SUPERVISORIAL DISTRICT 4,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",40-X,0,0,0,0,0,0,0,0,0,0,0,1327,1327,0,0,0,0,0,0,0,0,0,Ahmad Mohazab,Ahmad Mohazab,415-362-5857,SVELLVE,"(37.7651985877, -122.476889)"
02/11/2014,BP APPROVED,176 RANDALL ST,,Resident,2008.0069,"Demo existing 1,410 sqft, 22-feet in height single-family residence with one parking space and replace with a 4,986 sqft, 35-feet in height 2-unit building with 4 parking spaces.",200712261296,"ERECT A NEW 3 STORIES 2 FAMILY DWELLING, OVER BASEMENT.",12/26/2007,$0.00,,APN 6655030,-1,Glen Park,,Central,SUPERVISORIAL DISTRICT 8,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michael Allorecht,,,JPOLING,"(37.7399317865, -122.427288)"
02/18/2016,CONSTRUCTION,1762 12TH AV,,Resident,,,201307151824,"ERECT 3-STORY, TYPE 5, SINGLE FAMILY RESIDENCE.",07/15/2013,$590000.00,1 FAMILY DWELLING,APN 2038A018,-1,Inner Sunset,,Inner Sunset,SUPERVISORIAL DISTRICT 7,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7552869869, -122.468594)"
01/30/2015,BP FILED,1767 BEACH ST,,Resident,,,201501307147,LEGALIZE (E) IN LAW UNIT UNDER AMNESTY PROGRAM ORDINANCE #4314,01/30/2015,$7250.00,APARTMENTS,APN 0443A017,0,Marina,,Marina,SUPERVISORIAL DISTRICT 2,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.8040033973, -122.438357)"
10/07/2014,BP ISSUED,1769 11TH AV,,Resident,2014.0059,"New construction of a three-story 4,625 sf single-family home with two parking spaces.",201306068876,"TO ERECT 3 STORIES, 1 BASEMENT, SINGLE FAMILY DWELLING.",06/06/2013,$600000.00,1 FAMILY DWELLING,APN 2038A013,-1,Inner Sunset,,Inner Sunset,SUPERVISORIAL DISTRICT 7,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7552366931, -122.468174)"
03/10/2016,BP APPROVED,177 SAGAMORE ST,,Resident,,,201403211380,"TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155",03/21/2014,$149000.00,1 FAMILY DWELLING,APN 7147050,-1,Ocean View,,Ingleside,SUPERVISORIAL DISTRICT 11,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7111229830, -122.458290)"
01/27/2016,BP Filed,1776 VALLEJO ST,,Resident,2016-001466PRJ,,201601278103,TO ERECT 2 STORIES OF ONE SINGLE FAMILY,01/27/2016,$299000.00,1 FAMILY DWELLING,APN 0552031,0,Pacific Heights,,Marina,SUPERVISORIAL DISTRICT 2,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7965988450, -122.426678)"
09/22/2015,BP FILED,1780 REVERE AV,,Resident,2015-013583PRJ,,201509227704,1) DEMOLISH EXTG STAIR. 2)REPLACE & INSTALL NEW STAIR AND LANDING COVER. 3) INSTALL NEW EXTERIOR DOO,09/22/2015,$45000.00,2 FAMILY DWELLING,APN 5338025,-1,Bayview,Bayview Hunters Point,South Bayshore,SUPERVISORIAL DISTRICT 10,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7337184902, -122.393246)"
05/20/2013,BP FILED,1781 QUESADA AV,,Resident,,,201305207414,"CONVERTING BASEMENT INTO A SECOND UNIT 1,035 SQFT. (NET ADDITION 713 SQFT). REDUCING (E) GARAGE. REM",05/20/2013,$70000.00,2 FAMILY DWELLING,APN 5338032,0,Bayview,Bayview Hunters Point,South Bayshore,SUPERVISORIAL DISTRICT 10,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7339815727, -122.393115)"
03/29/2016,CONSTRUCTION,1785 15TH ST,,Resident,2012.0147,,201210242702,"ERECT 5-STORY, TYPE 3, 8 DWELLING UNITS BUILDING.",10/24/2012,$700000.00,APARTMENTS,APN 3555036,-1,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 8,RTO-M,RESIDENTIAL TRANSIT ORIENTED- MISSION,55-X,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7662063240, -122.423806)"
08/27/2015,BP FILED,1788 SILVER AV,,Resident,2015-011537PRJ,,201508275396,UNIT LEGALIZATION ORD 43-14. LEGALIZATION OF DWELLING UNIT INSTALLED WITHOUT PERMIT. LEGALIZE EXISTI,08/27/2015,$8000.00,2 FAMILY DWELLING,APN 5396001D,-1,Bayview,Bayview Hunters Point,South Bayshore,SUPERVISORIAL DISTRICT 10,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7338047546, -122.402861)"
05/27/2015,BP FILED,1794 SAN JOSE AV,,Resident,2015-006863PRJ,,201505277278,REMODEL OF (E) 2-STORY BLDG W/ DENTAL OFFICE INTO 4-STORY BLDG W/ DENTAL OFFICE & (4)(N) DWELLING UN,05/27/2015,$1450000.00,APARTMENTS,APN 6793011,-1,Outer Mission,,South Central,SUPERVISORIAL DISTRICT 11,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",40-X,4,2,0,0,0,0,0,3071,2193,-878,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7291965863, -122.440091)"
03/01/2016,CONSTRUCTION,1800 - 1900 OWENS ST,EXCHANGE ON 16TH,MIPS,2012.1482,"Construct two new 12 story buildings for a total of 995,000s/f, which will have 680,000s/f office and 315,000s/f parking (680 spaces), 34 bike spaces. Note that the lot listed in application is 008 which has not be sited yet.",201409045458,"TO ERECT 12 STORIES, 1.5 BASEMENT, OFFICE, RETAIL AND PARKING BUILDING.",09/04/2014,$191000000.00,OFFICE,APN 8727005,-1,Potrero Hill,Mission Bay,South of Market,SUPERVISORIAL DISTRICT 6,MB-RA,SEE MISSION BAY SOUTH REDEVELOPMENT PLAN,MB-RA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7655794172, -122.393188)"
06/10/2004,PL FILED,1800 MISSION ST,,Mixed,2014.0154,Rehabilitate existing historic Armory building into 207 dwelling units.,,,06/10/2004,$29776200.00,,APN 3547001,0,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,UMU,URBAN MIXED USE,68-X,0,0,0,0,0,0,0,0,119599,119599,160486,40887,-119599,0,0,0,0,0,0,39913,39913,0,Brett Gladstone,Brett Gladstone,415-434-9500,WHASTIE,"(37.7678171968, -122.420575)"
10/03/2013,BP FILED,1801 AND 1863 MISSION ST,,Mixres,2009.1011,"Construction of two new residential buildings in existing parking lots. The projects would include: Site 1: 17 dwelling units, 7 pkg spaces & retail space; Site 2: 37 residential units, 17 PKG space and retail.",201310038419,"ERECT 7 STORIES,17 DWELLING UNIT,MIX USE,TYPE 1 .",10/23/2009,$2000000.00,,APN 3548033,0,Mission,Mission (EN),Mission,SUPERVISORIAL DISTRICT 9,NCT-MISSION,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,40-X,54,54,0,0,0,3235,3235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,CTOWNES,"(37.7672656861, -122.419462)"
12/03/2015,PL FILED,1801 BUCHANAN ST,,Resident,2015-007328PRJ,Proposes to construct a new 4-story residential building over an existing underground garage structure serving an adjacent property.  The new building would contain six dwelling units and five off- street parking spaces.,,,06/10/2015,$0.00,,APN 0676033,0,Western Addition,Japantown,Western Addition,SUPERVISORIAL DISTRICT 5,NCD-JAPANTOWN,JAPANTOWN NEIGHBORHOOD COMMERCIAL DISTRICT,50-X,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Reuben, Junius, and Rose, LLP",,4155679000,,"(37.7867939008, -122.430325)"
12/11/2014,BP ISSUED,1801 SCOTT ST,,Resident,2013.0774,Replacement of parking lot with a single family dwelling,201311222590,"TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.",06/11/2013,$267000.00,,APN 1050007,-1,Western Addition,,Western Addition,SUPERVISORIAL DISTRICT 2,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HARVEY HACKER,HARVEY HACKER,415-957-0579,GCABRERO,"(37.7864908612, -122.438602)"
03/28/2016,CONSTRUCTION,181 FREMONT ST,,Mixres,2007.0456,"66-story office mixed-use high-rise project, 796,933 total gsf, 878-ft, with class A office space (floors 2-44), 140 units residential (floors 47-65), with sky lobby, and auto lift-accessed 241-space 4-level underground parking;  requiring demolition of",201305015894,"TO ERECT 54 STORIES, 5 BASEMENT, 74 RESIDENTIAL WITH COMMERCIAL, PARKING BUILDING.",05/15/2007,$242000000.00,,APN 3719010,-1,Financial District,Transbay; Transit Center District; Downtown,Downtown,SUPERVISORIAL DISTRICT 6,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),700-S-2,74,74,0,0,0,0,0,37450,530316,492866,0,0,0,0,0,0,0,0,0,0,0,0,Daniel Kingsley,Daniel Kingsley,415.421.8200,SJONES,"(37.7896424383, -122.395221)"
07/13/2011,BP ISSUED,1812 TAYLOR ST,,Resident,2010.0786,Add dwelling unit on ground floor with no expansion of the building,200709193055,SITE PERMIT: ADD 3RD UNIT AT GROUND FLOOR ~450 SF. 3 PARKING SPACES PROVIDED IN GARAGE. MECH & PLUMB,09/19/2007,$72000.00,APARTMENTS,APN 0119025,-1,Russian Hill,,Northeast,SUPERVISORIAL DISTRICT 3,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",40-X,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7991719963, -122.413752)"
02/01/2016,BP ISSUED,1822 22ND AV,,Resident,,,201409307715,"FOR LEGALIZATION. INSTALL NEW KITCHEN CABINET, COUNTER TOP, SINK, FAUCET ELECTRIC COOK TOP, STOVE HO",09/30/2014,$2500.00,2 FAMILY DWELLING,APN 2058009J,-1,Outer Sunset,,Outer Sunset,SUPERVISORIAL DISTRICT 4,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7536270279, -122.479325)"
03/22/2016,CONSTRUCTION,1823 TURK ST,,Resident,,,201310119178,"ERECT 4-STORY, TYPE V RESIDENTIAL CONDO.",10/11/2013,$800000.00,2 FAMILY DWELLING,APN 1153020,-1,Western Addition,,Western Addition,SUPERVISORIAL DISTRICT 5,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7792856504, -122.439381)"
08/21/2015,BP FILED,1824 15TH ST,,Resident,2015-014338PRJ,,201508214923,ADD UNIT PER ORDINANCE #30-15. ADDING A NEW DWELLING UNIT TO UNUSED STORAGE SPACE BEHIND GROUND FLOO,08/21/2015,$84000.00,APARTMENTS,APN 3545097,-1,Mission,Market and Octavia,Mission,SUPERVISORIAL DISTRICT 8,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,40-X,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7665929457, -122.424898)"
11/09/2015,BP FILED,1824 JENNINGS ST,,Resident,,,201511092165,"COMPLY WITH COMPLIANT# 2015/011268 ENF, 201569252 & 201569661 & 201567611. LEGALIZE DWELLING UNIT @",11/09/2015,$7000.00,2 FAMILY DWELLING,APN 4790005,0,Bayview,Bayview Hunters Point,South Bayshore,SUPERVISORIAL DISTRICT 10,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"(37.7286895621, -122.387488)"
10/16/2014,PL APPROVED,1834 SUTTER ST,,CIE,2013.0419,Construct new building on current school playard area; consolidate the school operations by moving from the Bush St facility into the new proposed building.,,,04/05/2013,$0.00,,APN 0676009,-1,Western Addition,Japantown,Western Addition,SUPERVISORIAL DISTRICT 5,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",40-X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7973,17816,9843,Cathy Inamasu,Cathy Inamasu,415-922-8898,SPERDUE,"(37.7867022345, -122.430675)"
