BESTSTAT,BESTDATE,NAMEADDR,CASENO,BPAPPLNO,PROPUSE,BLKLOT,LANDUSE,DESCRIPT,DBIDESC,UNITS,UNITSNET,AFF,AFFNET,TOTAL_GSF,CIE,MED,MIPS,PDR,RET,VISIT,NET_GSF,CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,Entitlement,Alias,ZONING,ZONING_SIMPLIFY,HEIGHT,PLNNBRHOOD,PLNDISTRICT,SUPEDIST,SOURCE,PLANNER,FILEDATE,SPONSOR,CONTACT,CONTACTPH,DECISION,DECDATE,ACTION,ACTDATE,GEOGRAPHY
BP FILED,01/20/2011,3808 MISSION ST,,201101208700,APARTMENTS,6692002,Resident,,TO CORRECT VIOLATION#201066546 AND TO,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",NC-2,40-X,Bernal Heights,Bernal Heights,SUPERVISORIAL DISTRICT 8,PERMIT TRACKING,,,,,,,,,,"(37.73578134990, -122.42486668200)"
BP FILED,03/20/2015,301 UPPER TR,,201503201416,1 FAMILY DWELLING,2628035,Resident,,Multiple Permits,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Castro/Upper Market,Buena Vista,SUPERVISORIAL DISTRICT 8,PERMIT TRACKING,,,,,,,,,,"(37.76210210180, -122.44558659200)"
BP FILED,05/15/2014,423 24TH AV,,201405155866,APARTMENTS,1456003,Resident,,REMODEL OF THE ENTIRE RES'D BLDG TO CONVERT A ONE UNIT RES'D BLDG INTO A THREE DWELLING UNIT RES'D B,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,40-X,Outer Richmond,Richmond,SUPERVISORIAL DISTRICT 1,PERMIT TRACKING,,,,,,,,,,"(37.78156757200, -122.48409813600)"
BP FILED,07/02/2014,925 KANSAS ST,2013.1856,201407020336,2 FAMILY DWELLING,4094048,Resident,"The project would construct five buildings (totaling 33, 200 sf) containing nine dwelling units (two each at lots 045-048, one at lot 044) and ten parking spaces on a 12,500-square-foot vacant lot. The proposed building would be three to five stories and","ERECT 5-STORY, 2 DWELLING UNITS WITH 1 BASEMENT RESIDENTIAL BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Potrero Hill,South of Market,SUPERVISORIAL DISTRICT 10,PERMIT TRACKING,,,,,,,,,,"(37.75809932550, -122.40258962900)"
BP FILED,12/31/2013,5875 MISSION ST,,201312315336,1 FAMILY DWELLING,6472022,Resident,,"HORIZONTAL & VERTICAL ADDITION, ADD THREE STORIES TO EXISTING SINGLE STORY STRUCTURE. CONVERT EXISTI",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT,NCD,40-X,Crocker Amazon,South Central,SUPERVISORIAL DISTRICT 11,PERMIT TRACKING,,,,,,,,,,"(37.70869175690, -122.45177706100)"
BP FILED,02/18/2015,195 BROAD ST,,201502188607,APARTMENTS,7113063,Resident,,1ST FLOOR: CONVERT (E) COMMERCIAL SPACE INTO TWO RESIDENTIAL UNITS.,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"NEIGHBORHOOD COMMERCIAL, CLUSTER",NC-1,40-X,Ocean View,Ingleside,SUPERVISORIAL DISTRICT 11,PERMIT TRACKING,,,,,,,,,,"(37.71296045840, -122.45883184900)"
BP FILED,02/21/2007,1419 BRODERICK ST,,200702214545,APARTMENTS,1080008,Resident,,VERTICAL AND HORIZONTAL ADDITION AND REMODELING FROM ONE FAMILY RESIDENCE TO THREE FAMILY RESIDENCES.,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, THREE FAMILY",RH-3,40-X,Western Addition,Western Addition,SUPERVISORIAL DISTRICT 2,PERMIT TRACKING,,,,,,,,,,"(37.78346820920, -122.44151470500)"
BP FILED,07/02/2014,935 KANSAS ST,2013.1856,201407020323,2 FAMILY DWELLING,4094045,Resident,"The project would construct five buildings (totaling 33, 200 sf) containing nine dwelling units (two each at lots 045-048, one at lot 044) and ten parking spaces on a 12,500-square-foot vacant lot. The proposed building would be three to five stories and","ERECT 4-STORY, 2 DWELLING UNITS WITH 1 BASEMENT RESIDENTIAL BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Potrero Hill,South of Market,SUPERVISORIAL DISTRICT 10,PERMIT TRACKING,,,,,,,,,,"(37.75789547910, -122.40257004300)"
BP FILED,06/27/2008,339 18TH AV,2004.0482,200806275518,2 FAMILY DWELLING,1450007,Resident,Existing theater building would be preserved - second floor would be expanded to create a full second floor full-service restaurant (preserving one theater screen) and ground floor would be for retail use.   New four-story mixed-use building would be con,"ERECT A 3 STORIES, 2 FAMILY DWELLING",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Inner Richmond,Richmond,SUPERVISORIAL DISTRICT 1,PERMIT TRACKING,,June 01 2004,,,,,,,,"(37.78158372690, -122.47764649800)"
PL FILED,08/15/2014,1271 19TH AV,2014.1256,201310169408,2 FAMILY DWELLING,1731015,Resident,New construction of a four-story building containing two residential units and two vehicle spaces.,ERECT 4-STORY TYPE 5 MULTI UNIT RESIDENTIAL.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,40-X,Outer Sunset,Outer Sunset,SUPERVISORIAL DISTRICT 4,PERMIT TRACKING,,August 15 2014,,,,,,,,"(37.76410775280, -122.47755111400)"
BP FILED,05/12/2014,1947 OAKDALE AV,2013.1882,201405125450,,5319037,Resident,New construction on a vacant lot: 3 story two-unit structure; 2 parking garage & roof garden,ERECT THREE STORY TWO UNITS RESIDENTIAL BUILDING.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Bayview,South Bayshore,SUPERVISORIAL DISTRICT 10,CASE TRACKING,CESPIRIT,December 13 2013,Wing Lee,Wing Lee,297-6493,,,,,"(37.73808910580, -122.39702986100)"
BP FILED,12/31/2013,1212 EGBERT AV,,201312315375,1 FAMILY DWELLING,4909003,Resident,,Multiple Permits,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, ONE FAMILY",RH-1,40-X,Bayview,South Bayshore,SUPERVISORIAL DISTRICT 10,PERMIT TRACKING,,,,,,,,,,"(37.72091634250, -122.38900562300)"
BP FILED,12/16/2014,2774 SAN BRUNO AV,,201412163794,2 FAMILY DWELLING,6048010,Resident,,ERECT 2 STORIES OF 2 DWELLING UNITS.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",NC-2,40-X,Excelsior,South Central,SUPERVISORIAL DISTRICT 9,PERMIT TRACKING,,,,,,,,,,"(37.72667821920, -122.40346903600)"
BP FILED,03/16/2015,4221 GEARY BL,,201503160999,APARTMENTS,1538036,Resident,,"REMODEL (E) 1ST & 2ND FL, ADD 2 (N) RESIDENTIAL UNIT ON TOP OF (E) BLDG (VERTICAL ADDITION).",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",NC-3,40-X,Inner Richmond,Richmond,SUPERVISORIAL DISTRICT 1,PERMIT TRACKING,,,,,,,,,,"(37.78069079640, -122.46470924800)"
BP FILED,07/08/2011,3932 GEARY BL,,201107089769,APARTMENTS,1435017,Resident,,EXISTING TWO OFFICE UNITS ON 3RD FL TO BE CONVERTED BACK TO RESIDENTIAL USE. NEW STUD WALLS AS SHOWN,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",NC-3,40-X,Inner Richmond,Richmond,SUPERVISORIAL DISTRICT 1,PERMIT TRACKING,,,,,,,,,,"(37.78144670620, -122.46167803900)"
BP FILED,04/27/2007,106 BACHE ST,,200704279893,2 FAMILY,5826003,Resident,,"TO ERECT 3 STORIES, 2 FAMILY RESIDENTIAL BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Bernal Heights,Bernal Heights,SUPERVISORIAL DISTRICT 9,BLDG PERMIT,,,,,,,,,,"(37.73372244910, -122.41778798200)"
BP FILED,11/30/2009,483 35TH AV,,200911302251,APARTMENTS,1467020,Resident,,LEGALIZE OCCUPANCY OF ILLEGAL UNIT ON GROUND FLOOR FOR OWNER WITH AMBULATORY DIFFICULTIES. REMODEL U,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Outer Richmond,Richmond,SUPERVISORIAL DISTRICT 1,PERMIT TRACKING,,,,,,,,,,"(37.77999754450, -122.49574260100)"
BP FILED,06/04/2012,1411 CHURCH ST,,201206041789,2 FAMILY DWELLING,6566027,Resident,,ADD NEW DWELLING UNIT AT GROUND FLOOR. INTERIOR REMODEL AT 2ND FLOOR REAR. ADD NEW BATH & RECONFIGUR,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Noe Valley,Central,SUPERVISORIAL DISTRICT 8,PERMIT TRACKING,,,,,,,,,,"(37.74825524100, -122.42678970200)"
BP FILED,11/19/2008,2104 CASTRO ST,,200811196948,2 FAMILY DWELLING,6611003,Resident,,"RENOVATION/ADDITION TO A SINGLE FAMILY HOME. WORK WILL CREATE A 2ND DWELLING UNIT, BUILDING ENVELOPE",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Noe Valley,Central,SUPERVISORIAL DISTRICT 8,PERMIT TRACKING,,,,,,,,,,"(37.74461658930, -122.43376641100)"
BP FILED,03/29/2013,349 RICHLAND AV,,201303293381,PRKNG GARAGE/PUBLIC,5721077,Resident,,VERTICAL ADDITION AND REMODEL OF EXISTING GARAGE AND STORAGE AREA AT FRONT OF PROPERTY INTO RESIDENT,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Bernal Heights,Bernal Heights,SUPERVISORIAL DISTRICT 9,PERMIT TRACKING,,,,,,,,,,"(37.73591025550, -122.41844798900)"
BP FILED,09/24/2010,1734 NEWCOMB AV,2010.0444,201009241613,,5305010,Resident,Addition of a dwelling unit in the basement of an existing single family residence.,CREATING AN IN-LAW UNIT. REMOVE (E) BSMT STAIRS&CHIMNEY.REPAIR 2/FL USING MATCHING MATERIAL.REPAIR 3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Bayview,South Bayshore,SUPERVISORIAL DISTRICT 10,CASE TRACKING,BFU,June 10 2010,Horace Johnson,Horace Johnson,415-573-8334,,,,,"(37.73687961090, -122.39215623900)"
BP FILED,06/25/2014,2224 SACRAMENTO ST,2014.1159,201406259421,1 FAMILY DWELLING,627006,Resident,SIDE YARD HORIZ. ADD.OF 2 STORIES-GREEN HOUSE/CONSERVATORY OVER A 2 CAR PARKING GARAGE. MINOR MODIF. TO (E) EAST & WEST DORMERS. LEGALIZE & RENOVATE 1 (E) NON CONFORMING DWG UNIT INTO A LEGAL DWG UNIT. BASEMT ADD. RECREATION AREA. N/ELEVATOR ACCESS/STORA,SIDE YARD HORIZ. ADD.OF 2 STORIES-GREEN HOUSE/CONSERVATORY OVER A 2 CAR PARKING GARAGE. MINOR MODIF.,2,1,0,0,0,0,0,0,0,0,0,-1107,0,0,0,0,0,-1107,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Pacific Heights,Marina,SUPERVISORIAL DISTRICT 2,CASE TRACKING,,July 28 2014,Emily Huang,Emily Huang,217 7055 x3,,,,,"(37.79057740690, -122.43032287100)"
BP FILED,03/18/2010,3350 TARAVAL ST,2010.0287,201003188484,1 FAMILY DWELLING,2372024A,Resident,Legalize conversion of existing detached garage structure into a dwelling unit.  Project requires a rear yard variance because existing garage is located within the required rear yard.   Parking variance also required.,legalized (e) unpermitted remodeling of (e) garage into a residential in-law or secondary unit as pa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,40-X,Parkside,Outer Sunset,SUPERVISORIAL DISTRICT 4,PERMIT TRACKING,,April 22 2010,,,,,,,,"(37.74212536070, -122.50231775400)"
CONSTRUCTION,05/27/2014,890 GROVE ST,2007.1486,201003107932,,797019,Resident,Thrid floor addition of a third unit on an existing 2-unit residential building.,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, THREE FAMILY",RH-3,50-X,Western Addition,Western Addition,SUPERVISORIAL DISTRICT 5,CASE TRACKING,SPERDUE,February 16 2010,Mark Topetcher,Mark Topetcher,359-9997,CEQA,,SHEETROCK NAILI,May 27 2014,"(37.77698096600, -122.43122769100)"
BP FILED,08/12/2014,1370 PACIFIC AV,2013.0884,201408123679,1 FAMILY DWELLING,155021,Resident,"Demo existing structure and construct new mixed-use, commercial/residential building with parking.","ERECT 4-STORY, 1 BASEMENT, SINGLE FAMILY DWELLING UNIT BUILDING.",1,1,0,0,0,0,0,0,0,0,0,252,0,0,0,0,252,0,,,PACIFIC AVENUE NEIGHBORHOOD COMMERCIAL,NCD,40-X,Nob Hill,Northeast,SUPERVISORIAL DISTRICT 3,PERMIT TRACKING,,,,,,,,,,"(37.79568260090, -122.41776315400)"
BP FILED,08/12/2014,1364 PACIFIC AV,,201408123674,1 FAMILY DWELLING,155020,Resident,,"TO ERECT 4 STORIES, 1 BASEMENT, SINGLE FAMILY RESIDENTIAL & BUSINESS.",1,1,0,0,0,0,0,0,0,0,0,-168,0,0,0,0,-168,0,,,PACIFIC AVENUE NEIGHBORHOOD COMMERCIAL,NCD,40-X,Nob Hill,Northeast,SUPERVISORIAL DISTRICT 3,PERMIT TRACKING,,,,,,,,,,"(37.79569077060, -122.41769908300)"
BP FILED,08/03/2009,445 WALLER ST,,200908034026,2 FAMILY DWELLING,867033,Resident,,To comply w/ NOV 2008.85761 of 1.7.09. to legalize (e) 2nd unit on thre ground/garage fl. Replace ou,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,RESIDENTIAL TRANSIT ORIENTED DISTRICT,RTO,40-X,Western Addition,Buena Vista,SUPERVISORIAL DISTRICT 5,PERMIT TRACKING,,,,,,,,,,"(37.77081966800, -122.43098809500)"
BP FILED,06/16/2009,60 FOUNTAIN ST,2009.0446,200906160568,1 FAMILY DWELLING,6501010,Resident,Rear yard variance for the construction of a  new single-family building at rear of site.,"NEW HOUSE @ LOCATION OF EXISTING HOUSE, HOUSE IS 2001 SQ FT. AT REAR, NO WORK TO FRONT UNIT, REBUILD",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Noe Valley,Central,SUPERVISORIAL DISTRICT 8,CASE TRACKING,APUTRA,May 28 2009,Alan Martinez,Alan Martinez,415.626.9379,CEQA,,,,"(37.74990807190, -122.44190587500)"
BP FILED,04/02/2010,1491 FUNSTON AV,,201004029551,2 FAMILY DWELLING,1840015,Resident,,"VERTICAL AND HORIZONTAL ADDITION. ADD 4TH FL PENTOUSE SUITE, FRONT AND REAR ROOF DECK, 2 STORY ADDITION AT REAR, CONVERT SINGLE FAMILY TO 2 UNITS, WIDEN GARAGE DOOR",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Inner Sunset,Inner Sunset,SUPERVISORIAL DISTRICT 7,PERMIT TRACKING,,,,,,,,,,"(37.76032041170, -122.47067851500)"
BP FILED,04/26/2010,1710 OAKDALE AV,,201004261017,2 FAMILY DWELLING,5312049,Resident,,"ADD ONE UNIT TO (E) SINGLE FAMILY BUILDING. Replace front door and steps, replace rolling up garage",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COMMUNITY BUSINESS,C-2,40-X,Bayview,South Bayshore,SUPERVISORIAL DISTRICT 10,PERMIT TRACKING,,,,,,,,,,"(37.73603443750, -122.39233179600)"
BP FILED,05/06/2010,1248 SILVER AV,,201005061831,2 FAMILY DWELLING,5918001,Resident,,Site permit: Build 2nd. residential unit; ground level to add 1-more parking space & 1/2 bath. 2nd.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Excelsior,South Central,SUPERVISORIAL DISTRICT 9,PERMIT TRACKING,,,,,,,,,,"(37.73033830770, -122.41143753700)"
PL FILED,05/06/2011,4335 LINCOLN WY,2011.047,201008279734,2 FAMILY DWELLING,1706045,Resident,Vertical and horizontal addition to existing SFD to be converted to 2-unit building.,COMPLY WITH NOV# 200678848 / O.A# 102906A. LEGALIZE FRONT & REAR HORIZONTAL ADDITION & CONVERT (E) G,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Outer Sunset,Outer Sunset,SUPERVISORIAL DISTRICT 4,PERMIT TRACKING,,May 06 2011,,,,,,,,"(37.76397146010, -122.50465258900)"
PL FILED,08/23/2010,2851 FILBERT ST,2010.0723,201205251254,,948018,Resident,Rehabilitation and alteration of historic cottage located on the rear of the property line and proposed new construction of a residential building located on the primary elevation of the lot.,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, ONE FAMILY",RH-1,40-X,Marina,Marina,SUPERVISORIAL DISTRICT 2,CASE TRACKING,MCORRETT,August 23 2010,William Pashelinsky,William Pashelinsky,379 - 3676,,,,,"(37.79638373040, -122.44636202400)"
BP ISSUED,06/01/2015,335 RALSTON ST,,201408053038,2 FAMILY DWELLING,7003013,Resident,,"1)REVISION TO APP#201407231936. LEGALIZE AS BUILT BATHROOMS, BEDROOMS, FAMILY ROOM, AND KITCHEN AT 1",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, ONE FAMILY",RH-1,40-X,Ocean View,Ingleside,SUPERVISORIAL DISTRICT 11,PERMIT TRACKING,,,,,,,,ISSUED,June 01 2015,"(37.71854319680, -122.46921948100)"
BP FILED,07/17/2014,466 VERNON ST,,201407171522,2 FAMILY DWELLING,6994039,Resident,,(UNIT LEGALIZATION ORD 43-14 )CONVERT (E) STORAGE SPACE IN APP #200012047067 TO A NEW KITCHEN & INST,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, ONE FAMILY",RH-1,40-X,Ocean View,Ingleside,SUPERVISORIAL DISTRICT 11,PERMIT TRACKING,,,,,,,,,,"(37.72088229670, -122.46778985300)"
PL FILED,09/13/2014,618 NATOMA ST,2014.1409,,,3727045,Resident,Variance request to the open space requirement to permit the conversion of storage space to habitable space as part of the creation of a new dwelling unit.,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SOUTH OF MARKET RESIDENTIAL ENCLAVE,RED,40-X,South of Market,Downtown,SUPERVISORIAL DISTRICT 6,CASE TRACKING,,September 13 2014,Michael Smith,Javier Solorzano,415-724-5240,,,,,"(37.77812994310, -122.41057077800)"
BP FILED,03/21/2007,345 LOUISBURG ST,,200703216875,1 FAMILY DWELLING,7036012,Resident,,TO ERECT 3 STORY SINGLE FAMILY DWELLING,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, ONE FAMILY",RH-1,40-X,Ocean View,Ingleside,SUPERVISORIAL DISTRICT 11,PERMIT TRACKING,,,,,,,,,,"(37.71870986170, -122.45091409400)"
PL FILED,11/18/2009,5498 MISSION ST,2009.0812,200804159728,APARTMENTS,7044A006,Resident,Demolition and contruct new mixed use 3-story building with 6 residential units and bottom floor commercial.,to erect 6 dwelling units with 2 story new bldg; to demolish 5 dwelling units with retail space,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT,NCD,40-X,Outer Mission,South Central,SUPERVISORIAL DISTRICT 11,PERMIT TRACKING,,August 28 2009,,,,,,,,"(37.71291432320, -122.44482641100)"
BP FILED,03/23/2015,3769 CESAR CHAVEZ ST,,201503231627,APARTMENTS,6577046,Resident,,LEGALIZATION OF UNWARRANTED UNIT FOR A TOTAL OF 3 UNITS. ORDINANCE #43-14.,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Bernal Heights,Central,SUPERVISORIAL DISTRICT 8,PERMIT TRACKING,,,,,,,,,,"(37.74763871670, -122.42396591900)"
BP FILED,03/06/2015,53 MIGUEL ST,,201503060173,APARTMENTS,6665049,Resident,,"BUILDING UNIT COUNT VERIFICATION, legalizing unit, change of use, R3 to R2 to comply with Informatio",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Glen Park,Central,SUPERVISORIAL DISTRICT 8,PERMIT TRACKING,,,,,,,,,,"(37.73915761310, -122.42933969700)"
BP FILED,08/14/2009,2727 GOUGH ST,,200908144854,2 FAMILY DWELLING,529002,Resident,,Add new dwelling unit/ new kitchen unit in (E) basement floor. All remodeling in basement floor appr,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, THREE FAMILY",RH-3,40-X,Marina,Marina,SUPERVISORIAL DISTRICT 2,PERMIT TRACKING,,,,,,,,,,"(37.79852234880, -122.42767822100)"
BP FILED,02/18/2009,835 LOMBARD ST,,200902182284,APARTMENTS,73020,Resident,,Convert 2-unit bldg. to 3-unit bldg. w/o enlarging bldg. Add 1-car parking space @ front driveway ar,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,40-X,Russian Hill,Northeast,SUPERVISORIAL DISTRICT 3,PERMIT TRACKING,,,,,,,,,,"(37.80226127990, -122.41525246900)"
BP FILED,06/11/2008,1173 PLYMOUTH AV,,200806114219,2 FAMILY DWELLING,6942004,Resident,,CONSTRUCTION OF TWO FAMILY DWELLING THREE-STORY WOOD FRAME NON-RATED BLDG.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Ocean View,Ingleside,SUPERVISORIAL DISTRICT 7,PERMIT TRACKING,,,,,,,,,,"(37.72333499010, -122.45646270200)"
BP FILED,02/12/2009,227 NORIEGA ST,2010.09,200902122009,2 FAMILY DWELLING,2046040A,Resident,,REMODELING (E) FIRST AND SECOND FLOOR AND EXTENDING THESE 2 FLOORS OUT TOWARDS REAR YARD. 1ST FL. TO,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Inner Sunset,Inner Sunset,SUPERVISORIAL DISTRICT 7,PERMIT TRACKING,,,,,,,,,,"(37.75444553440, -122.46617716000)"
PL FILED,09/26/2014,400 HEARST AV,2014.1487,,,3116006,Resident,Variance request to the front setback requirement to permit the new construction of a single family dwelling on an existing vacant lot.,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, ONE FAMILY",RH-1,40-X,Outer Mission,Ingleside,SUPERVISORIAL DISTRICT 7,CASE TRACKING,,September 26 2014,Edward Brady,Raj Yadav,510-870-2340,,,,,"(37.73082877010, -122.44681065700)"
BP FILED,01/27/2015,34 COUNTRY CLUB DR,,201501276733,2 FAMILY DWELLING,7279041,Resident,,LEGALIZE IN-LAW UNIT @ 1ST FLOOR PER  ORDINANCE 43-14.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",RH-1(D),40-X,Lakeshore,Ingleside,SUPERVISORIAL DISTRICT 7,PERMIT TRACKING,,,,,,,,,,"(37.72986839460, -122.49508721700)"
BP FILED,03/02/2015,868 DUNCAN ST,,201503029743,2 FAMILY DWELLING,7518081,Resident,,LEGALIZE 1ST FLOOR UNIT AS PER ORDINACE 43-14.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, ONE FAMILY",RH-1,40-X,Noe Valley,Central,SUPERVISORIAL DISTRICT 8,PERMIT TRACKING,,,,,,,,,,"(37.74560302020, -122.43923195400)"
BP FILED,02/06/2009,421 ALVARADO ST,,200902061524,2 FAMILY DWELLING,3625040,Resident,,Add a residential unit at the rear of an existing single family residence.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Noe Valley,Central,SUPERVISORIAL DISTRICT 8,PERMIT TRACKING,,,,,,,,,,"(37.75368098610, -122.43039474600)"
BP FILED,03/23/2011,977 NORTH POINT ST,,201103232716,2 FAMILY DWELLING,453011,Resident,,WORK ON (FRONT BLDG)REDUCE SIZE OF REAR PORTION OF (E) RESTAURANT AND RESTORE BACK TO DWELLING UNIT,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"NEIGHBORHOOD COMMERCIAL, CLUSTER",NC-1,40-X,Russian Hill,Northeast,SUPERVISORIAL DISTRICT 2,PERMIT TRACKING,,,,,,,,,,"(37.80506578760, -122.42313911400)"
BP FILED,11/04/2014,508 GARFIELD ST,,201411040625,2 FAMILY DWELLING,6994020,Resident,,"REMODEL AND LEGALIZE GROUND FLOOR WITH ONE LIVING ROOM. ONE BED ROOM, ONE FULL BATHROOM WITH KITCHEN",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, ONE FAMILY",RH-1,40-X,Ocean View,Ingleside,SUPERVISORIAL DISTRICT 11,PERMIT TRACKING,,,,,,,,,,"(37.71985540630, -122.46738876600)"
BP FILED,09/04/2008,762 37TH AV,,200809040762,2 FAMILY DWELLING,1608012,Resident,,"VERTICAL ADDITION OF TWO FLOORS ABOVE TWO STORIES (E)-ADD ONE FULL DWELLING UNIT. ELECTRICAL, PLUMBI",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,40-X,Outer Richmond,Richmond,SUPERVISORIAL DISTRICT 1,PERMIT TRACKING,,,,,,,,,,"(37.77455589010, -122.49690809000)"
