,Unnamed: 0,actdate,action,action_seq,address,aff,aff_dec,affnet,affordab_1,affordable,affordable_net,affordablenet,alias,apn,best_date,best_stat,beststat_group,block,bpapplno,building_type_id,caseno,centralsoma,cie,cie_existing,cie_net,cie_proposed,cienet,classified_neighborhood,contact,contactadd,contactcity,contactph,contactphone,cost,cult_inst_educ,dbi_actdate,dbi_action,dbi_filed,dbi_permit,dbi_permit_id,dbi_project_description,dbidesc,decdate,decision,descript,district,districtname,dname,entitled,entitlement,entitlementstatus,filedate,first_project_record_date,firstfiled,fullname,geography,height,height_lim,heightlimit,heightnum,industrial_existing,industrial_net,industrial_proposed,landuse,latest_project_record_date,latest_project_status,location,lot,med,medical,medical_existing,medical_net,medical_proposed,mednet,mips,mipsnet,neighborhood,net_added_sf,net_added_units,net_cult_inst_educ,net_gsf,net_medical,net_office,net_prod_dist_rep,net_ret_ent,net_visitor,new_rehab,objectid,office,office_existing,office_net,office_proposed,original_data_file,parking,parkingnet,pda,pdr,pdrnet,planarea,plandistrict,planner,planning_filed,planning_id,planning_project_description,planningdistrictscombo,pln_review,pln_reviewdate,plndesc,plndistrict,prod_dist_rep,project_dates,project_duration_days,project_statuses,propuse,report_quarter,report_year,ret,ret_ent,retailcomm_existing,retailcomm_net,retailcomm_proposed,retnet,sitearea,sizecat,sort,source,sponsor,sponsor_firm,sponsor_name,standardaddress,status_group,statusgroup,supdist,supedist,taz,tempselect,total_gsf,total_gsf_commercial,totalsqftestim,traffic_analysis_zone,units,unitsnet,visit,visitnet,visitor,visitor_existing,visitor_net,visitor_proposed,x,y,zonename,zoning,zoning_gen,zoning_generalized,zoning_sim,zoning_simplified,zoningdistrictname
10608,10608,,,,202 TEDDY AVENUE (AKA 468-488 RUTLA,,,,,0.0,,0.0,,APN 6209052,2015-05-13,BP FILED,,,201505136191.0,,2015-006747PRJ,,0.0,,,,0.0,Visitacion Valley,TAM YIN KWAN,,,,,,,,,,,,,"DEMOLISH 1-STORY, TYPE V, SINGLE FAMILY DWELLING BUILDING.",01/01/42184 12:00:00 AM,CEQA,"Demolish one single-family residence, subdivide into three (3) lots, and construct three (3) new single-family residences.",,"RESIDENTIAL- HOUSE, ONE FAMILY",D10,,,0,05/29/2015,2015-05-13,,,"(37.71482758710, -122.40655166200)",,40-X,,,,,,Resident,2015-05-13,BP FILED,,,0.0,,,,,0.0,0.0,0.0,Visitacion Valley,,,,0.0,,,,,,N,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_2.csv,2243.0,1908.0,,0.0,0.0,,,JDISALVO,,,,,,,,South Central,,"('2015-05-13',)",0.0,"('BP FILED',)",,2,2015,0.0,,,,,0.0,,,,CASE TRACKING,,,,,,,,,,,0.0,,,,3.0,2.0,0.0,0.0,,,,,37.714827587100004,-122.40655166200001,,,,,RH-1,,
14411,14411,,,,2739 MCALLISTER ST,,,,,0.0,0.0,,,APN 1168043,2015-08-31,BP FILED,,,201508315729.0,,2015-012083PRJ,,,0.0,0.0,0.0,,Lone Mountain/USF,,,,,,$150000.00,,,,,,,,CONVERT (E) 2 UNITS RESIDENTIAL BLDG INTO A 3 UNITS RESIDENTIAL WITH HORIZ. ADDITION AT THE REAR.  (,,,,Richmond,"RESIDENTIAL- HOUSE, THREE FAMILY",,,,-1.0,,2015-08-31,08/31/2015,,,,,40-X,,0.0,0.0,0.0,Resident,2015-08-31,BP FILED,"(37.7751069596, -122.457195)",,,,0.0,0.0,0.0,,,,Inner Richmond,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,,,,,,,,,,,,,"('2015-08-31', '2015-08-31')",0.0,"('BP FILED', 'BP FILED')",APARTMENTS,1,2016,,,0.0,0.0,0.0,,,,,,,,,,,,SUPERVISORIAL DISTRICT 1,,,,,,,,3.0,1.0,,,,0.0,0.0,0.0,37.7751069596,-122.457195,,RH-3,,,,,
3494,3494,,,,3310 CLAY ST,,,,,,,,,0997004,2012-08-13,CONSTRUCTION,,997,,14.0,,,,,,,,Presidio Heights,,,,,,,,,,11/02/2009 12:00:00 AM,200911020335,,ERECT A  FOUR STORY SINGLE FAMILY DWELLING.,,,,,,,,,,,,2012-08-13,11/02/2009 12:00:00 AM,,,,,40-X,,,,,Resident,2012-08-13,CONSTRUCTION,"3310 Clay St
(37.7890569, -122.4473823)",4,,,,,,,,,Richmond,0.0,1.0,,,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2013_Quarter_2.csv,,,,,,,,,,,,,,,,,,"('2012-01-09', '2012-07-11', '2012-08-13', '2012-08-13', '2012-08-13')",0.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",,2,2013,,,,,,,,,,,,,,,,,,,331.0,,,0.0,,,1.0,,,,,,,,37.7890569,-122.44738229999999,,RM-1,,Residential,,RM-1,
11778,11778,,,,94115,,,,,0.0,,0.0,,APN 1150005,2015-05-07,BP FILED,,,201505075705.0,,,,0.0,,,,0.0,Lone Mountain/USF,,,,,,,,,,,,,,HORIZONTAL & VERTICAL ADDITION TO (E) 2 STORY SINGLE FAMILY HOUSE. PROPOSED 2 ADDITIONAL RESIDENTIAL,,,,,,,0.0,,,,2015-05-07,05/07/2015,,,40-X,,,,,,,Resident,2015-05-07,BP FILED,"94115
(37.77858311240, -122.44392372600)",,0.0,,,,,0.0,0.0,0.0,Western Addition,,,,0.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_3.csv,,,,0.0,0.0,,Western Addition,,,,,,,,,,,"('2015-05-07',)",0.0,"('BP FILED',)",APARTMENTS,3,2015,0.0,,,,,0.0,,,,PERMIT TRACKING,,,,,,,,SUPERVISORIAL DISTRICT 5,,,0.0,,,,3.0,2.0,0.0,0.0,,,,,37.7785831124,-122.44392372600001,"RESIDENTIAL- HOUSE, THREE FAMILY",,,,RH-3,,
11589,11589,,,,94112,,,,,0.0,,0.0,,APN 3196028,2014-09-10,BP FILED,,,201409106031.0,,,,0.0,,,,0.0,West of Twin Peaks,,,,,,,,,,,,,,"VERTICAL ADDITION. 2 STORY BUILDING ADDITION OVER EXISTING 2 STORY APT/RETAIL. ADD 4 BEDROOM, 3 BATH",,,,,,,0.0,,,,2014-09-10,09/10/2014,,,45-X,,,,,,,Resident,2014-09-10,BP FILED,"94112
(37.72469703930, -122.45877928100)",,0.0,,,,,0.0,0.0,0.0,West of Twin Peaks,,,,0.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_3.csv,,,,0.0,0.0,Balboa Park,Ingleside,,,,,,,,,,,"('2014-09-10',)",0.0,"('BP FILED',)",APARTMENTS,3,2015,0.0,,,,,0.0,,,,PERMIT TRACKING,,,,,,,,SUPERVISORIAL DISTRICT 7,,,0.0,,,,9.0,8.0,0.0,0.0,,,,,37.7246970393,-122.458779281,OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT,,,,NCT,,
12255,12255,,,,94134,,,,,0.0,,0.0,,APN 5943050,2014-01-08,CONSTRUCTION,,,200711077585.0,,2008.1203,,0.0,,,,0.0,Excelsior,,,,,,,,,,,,,,BLDG 1 - CONSTRUCT 3 STORY SINGLE FAMILY DWELLING,,,,,,,-1.0,,,,2014-01-08,11/07/2007,,,40-X,,,,,,,Resident,2014-01-08,CONSTRUCTION,"94134
(37.72572244580, -122.42280357400)",,0.0,,,,,0.0,0.0,0.0,Excelsior,,,,0.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_3.csv,,,,0.0,0.0,,South Central,,,,,,,,,,,"('2014-01-08',)",0.0,"('CONSTRUCTION',)",1 FAMILY DWELLING,3,2015,0.0,,,,,0.0,,,,PERMIT TRACKING,,,,,,,,SUPERVISORIAL DISTRICT 9,,,0.0,,,,1.0,1.0,0.0,0.0,,,,,37.7257224458,-122.422803574,"RESIDENTIAL- HOUSE, ONE FAMILY",,,,RH-1,,
11501,11501,,,,94134,,,,,0.0,,0.0,,APN 5992A060,2014-05-15,PL FILED,,,,,2013.1711,,0.0,,,,-23000.0,Portola,Bruce Baumann,,,415 551-7884,,,,,,,,,,,,,,,,,0.0,,,,2014-05-15,05/15/2014,,,40-X,,,,,,,Resident,2014-05-15,PL FILED,"94134
(37.72571853320, -122.41731963700)",,0.0,,,,,0.0,0.0,0.0,Excelsior,,,,-23000.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_3.csv,,,,0.0,0.0,,South Central,CTOWNES,,,,,,,"The project will be a PUD under Section 304.  The existing vacant Fellowship Academy Day Care Facility will be demolished, and the 200 block of Yale Street will be extended into the site.  The lot will be subdivided into 34 new parcels for single family",,,"('2014-05-15',)",0.0,"('PL FILED',)",,3,2015,0.0,,,,,0.0,,,,CASE TRACKING,Peter Naughton,,,,,,,SUPERVISORIAL DISTRICT 9,,,0.0,,,,34.0,34.0,0.0,0.0,,,,,37.7257185332,-122.417319637,"RESIDENTIAL- HOUSE, ONE FAMILY",,,,RH-1,,
10725,10725,01/01/40879 12:00:00 AM,"ROUGH FRAME, PA",,10 LUNDYS LN,,,,,0.0,,0.0,,APN 5610029A,2011-12-02,CONSTRUCTION,,,201103303154.0,,2011.0837,,0.0,,,,0.0,Bernal Heights,,,,,,,,,,,,,,"CONVERT EXISTING LOWER FLOOR LIVING SPACE INTO DWELLING UNIT, ADD 1 RATE WALL. DOOR AT INTERIOR STAI",,,,,"RESIDENTIAL- HOUSE, TWO FAMILY",D9,,,-1,,2011-12-02,,,"(37.74563545260, -122.41794602700)",,40-X,,,,,,Resident,2011-12-02,CONSTRUCTION,,,0.0,,,,,0.0,0.0,0.0,Bernal Heights,,,,0.0,,,,,,R,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_2.csv,0.0,0.0,,0.0,0.0,,,,,,,,,,,Bernal Heights,,"('2011-12-02',)",0.0,"('CONSTRUCTION',)",2 FAMILY DWELLING,2,2015,0.0,,,,,0.0,,,,PERMIT TRACKING,,,,,,,,,,,0.0,,,,2.0,1.0,0.0,0.0,,,,,37.745635452600006,-122.41794602700001,,,,,RH-2,,
11515,11515,,,,94102,,,,,0.0,,0.0,,APN 0836011,2014-01-02,PL FILED,,,201504093240.0,,2013.1005,,0.0,,,,0.0,Hayes Valley,Aidin Massoudi,,,415-922-0200,,,,,,,,,,"TO ERECT 8 STORIES, NO BASEMENT, 28 UNITS RESIDENTIAL & COMMERCIAL BUILDING.",,,,,,,0.0,,,,2014-01-02,01/02/2014,,,85-X,,,,,,,Mixres,2014-01-02,PL FILED,"94102
(37.77472679970, -122.42060368400)",,0.0,,,,,0.0,0.0,0.0,Downtown/Civic Center,,,,4323.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_3.csv,,,,0.0,0.0,Market and Octavia; Downtown,Buena Vista,CGROB,,,,,,,"Demolish the  existing auto body shop building on the lot 012 and construct a 8-story, 85-foot tall mixed use building. Construct a new building would include 24 dwelling units and 2,120 gross square feet of retail space along Franklin.",,,"('2014-01-02',)",0.0,"('PL FILED',)",APARTMENTS,3,2015,4323.0,,,,,4323.0,,,,CASE TRACKING,Aidin Massoudi,,,,,,,SUPERVISORIAL DISTRICT 5,,,4323.0,,,,28.0,28.0,0.0,0.0,,,,,37.7747267997,-122.420603684,DOWNTOWN- GENERAL,,,,C-3-G,,
14868,14868,,,,720 YORK ST,,,,,0.0,0.0,,,APN 4080015,2015-12-01,BP APPROVED,,,201307303167.0,,,,,0.0,0.0,0.0,,Mission,,,,,,$1500.00,,,,,,,,ADD SECONDARY EXIT STAIR PER RESIDENTIAL BUILDING CODE. CHANGE FROM ART STUDIO TO CONDO UNIT.,,,,Mission,URBAN MIXED USE,,,,-1.0,,2015-12-01,07/30/2013,,,,,58-X,,0.0,0.0,0.0,Resident,2015-12-01,BP APPROVED,"(37.7598258519, -122.409203)",,,,0.0,0.0,0.0,,,,Mission,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,Mission (EN),,,,,,,,,,,,"('2013-07-30', '2015-12-01', '2015-12-01')",0.0,"('BP FILED', 'BP APPROVED', 'BP APPROVED')",ARTIST LIVE/WORK,1,2016,,,0.0,0.0,0.0,,,,,,,,,,,,SUPERVISORIAL DISTRICT 10,,,,,,,,37.0,1.0,,,,0.0,0.0,0.0,37.759825851900004,-122.409203,,UMU,,,,,
4773,4773,,,,1266 09TH AV,,,,,,,,,1742043,2013-11-14,CONSTRUCTION,,1742,,,,,,,,,,Inner Sunset,,"150 Post Street, #320","San Francisco, CA 94108",,395.0880x324,,,,,18-Dec-09,200912183521,,construction of a new 4-story bldg with 15-unit condos.,,,,,,,,,,,,2013-11-14,26-Jun-08,Don Bragg 395.0880x324,,,,40-X,,,,,Mixres,2013-11-14,CONSTRUCTION,"1266 09th Av
(37.764675099999998, -122.4662513)",43,,,,,,,,,Inner Sunset,-3000.0,15.0,0.0,,0.0,-2200.0,0.0,-800.0,0.0,,1113.0,,,,,data/raw/San_Francisco_Development_Pipeline_2013_Quarter_4.csv,,,,,,,,,26-Jun-08,2007.1397,"Existing 2-story, 6,000 sqft mortuary/office building with 28 space parking lot would be demolished. Proposed 3-story, 40-foot building with ground floor retail and 2-stories of residential.",,,,,,,"('2010-12-09', '2012-07-09', '2012-12-12', '2013-03-15', '2013-06-17', '2013-09-27', '2013-11-14')",0.0,"('BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",,4,2013,,3000.0,,,,,12000.0,,Construction,,,Prado Group,Don Bragg,,,,5.0,,224.0,,,3000.0,,,15.0,,,,,,,,37.7646751,-122.46625130000001,,INNER SUNSET,,Neighborhood Commercial,,INNER SUNSET,
9485,9485,,,,102 BAKER ST,0.0,,0.0,,,,,,1219018,2014-11-25,BP FILED,,,201411252470.0,,,,0.0,,,,0.0,Haight Ashbury,,,,,,,,,,,,,,COVERT (E) STORAGE SPACE @ 1ST FLR INTO GARAGE W/TOILET (UNDER SEP PERMIT). REBUILD (E) FRONT PORT &,,,,Buena Vista,"RESIDENTIAL- HOUSE, THREE FAMILY",,,,,,2014-11-25,,,"(37.77201728680, -122.44024946500)",40-X,,,,,,,Resident,2014-11-25,BP FILED,,,0.0,,,,,0.0,0.0,0.0,Haight Ashbury,,,,0.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_1.csv,,,,0.0,0.0,,,,,,,,,,,,,"('2014-11-25', '2014-11-25')",0.0,"('BP FILED', 'BP FILED')",APARTMENTS,1,2015,0.0,,,,,0.0,,,,PERMIT TRACKING,,,,,,,SUPERVISORIAL DISTRICT 5,,,,0.0,,,,3.0,1.0,0.0,0.0,,,,,37.7720172868,-122.440249465,,,,,RH-3,,
8326,8326,,,,1401 CALIFORNIA ST,,,0.0,,0.0,,,,0250001,2011-12-15,PL APPROVED,,,,,2011.1046,,0.0,,,,0.0,Nob Hill,Lisa Congdon,,,,,,,,,,,,,,,,"Demolish Cala Foods and loading dock and construct 6-8-story, 95-unit residential mixed-use building, 31,000-sf retail, and 105 parking, 246,500-sf total. LEED Gold.",,,,,True,true,06/13/2008,2011-12-15,,,"(37.790616, -122.417821)",,,65-A,,,,,Mixres,2011-12-15,PL APPROVED,,,0.0,,,,,0.0,0.0,0.0,Nob Hill,,,,-19056.0,,,,,,N,,,,,,data/raw/San_Francisco_Development_Pipeline_2014_Quarter_4.csv,,,,0.0,0.0,,,,,,,,,,,,,"('2008-10-20', '2008-10-20', '2008-10-20', '2008-10-20', '2008-10-20', '2008-10-20', '2011-12-15', '2011-12-15', '2011-12-15', '2011-12-15')",0.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",,4,2014,31000.0,,,,,-19056.0,,50-99,PL Approved,CASE TRACKING,Lisa Congdon,,,1401 California St,,,,,,,31000.0,,,,95.0,95.0,0.0,0.0,,,,,37.790616,-122.41782099999999,,,Mixed Use,,NCD,,POLK STREET NEIGHBORHOOD COMMERCIAL
13290,13290,,,,538 28TH ST,,,,0.0,0.0,,,,APN 6604011,2015-06-25,CONSTRUCTION,,,201209190133.0,,,,0.0,,,,0.0,Noe Valley,,,,,,,,,,,,,,"TO ERECT 3 STORIES WITH 1 BASEMENT, SINGLE FAMILY DWELLING.",,,,Central,"RESIDENTIAL- HOUSE, ONE FAMILY",,-1.0,,,,2015-06-25,09/19/2012,,"(37.74509017240, -122.43429737600)",40-X,,,,,,,Resident,2015-06-25,CONSTRUCTION,,,0.0,,,,,0.0,0.0,0.0,Noe Valley,,,,0.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_4.csv,,,,0.0,0.0,,,,,,,,,,,,,"('2015-06-25', '2015-06-25')",0.0,"('CONSTRUCTION', 'CONSTRUCTION')",1 FAMILY DWELLING,4,2015,0.0,,,,,0.0,,,,PERMIT TRACKING,,,,,,,SUPERVISORIAL DISTRICT 8,,,,0.0,,,,1.0,1.0,0.0,0.0,,,,,37.7450901724,-122.434297376,,,,,RH-1,,
527,527,,,,162 LANDERS ST,,,,,,,,,3557024,2011-09-07,CONSTRUCTION,,3557,,,,,,,,,,Castro/Upper Market,,,,,,,,,,01/15/2010 08:00:00 AM +0000,201001154846,,"THREE STORIES HORIZONTAL ADDITION, AND ONE STORY VERTICAL ADDITION ,AND ADD ONE DWELLING UNIT INCL. ",,,,,,,,,,,,2011-09-07,,,,,,40-X,,,,,Resident,2011-09-07,CONSTRUCTION,"162 Landers St
(37.765163, -122.427936)",024,,,,,,,,,Market Octavia,0.0,1.0,,,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2012_Quarter_1.csv,,,,,,,,,,,,,,,,,,"('2011-09-07',)",0.0,"('CONSTRUCTION',)",,1,2012,,,,,,,0.0,,,,,,,,Construction,,8.0,,231.0,,,0.0,,,2.0,,,,,,,,37.765163,-122.42793600000002,,RTO,,Residential,,RTO,
8045,8045,,,,834 DIVISADERO ST,,,,,,,,,1180015,2014-02-12,PL FILED,Planning Filed,,,,,,,,,,,Western Addition,,"601 Van Ness Avenue, #E-3606","San Francisco, CA  94102",,355-0900,,,,,,,,,,,,,,,,,,0,,2014-02-12,12-Feb-14,John Stricklin 355-0900,,,,65-A,65.0,,,,Mixres,2014-02-12,PL FILED,"834 Divisadero St
(37.777175999999997, -122.43811700000001)",,,,,,,,,,Western Addition,4072.0,7.0,,,,1432.0,,2640.0,,,6180.0,1432.0,,,,data/raw/San_Francisco_Development_Pipeline_2014_Quarter_3.csv,,,,,,,,,12-Feb-14,2013.066,Addition of 4 floors residential over 2 story existing conc. garage.,Western Addition,,,,,,"('2014-02-12', '2014-02-12', '2014-02-12')",0.0,"('PL FILED', 'PL FILED', 'PL FILED')",,3,2014,,2640.0,,,,,,,,,,"Group NOPA, LLC",John Stricklin,,,,,,,,,4072.0,18626.0,,7.0,,,,,,,,37.777176000000004,-122.43811699999999,,NC-2,,Mixed Use,,NC-2,
1466,1466,,,,1675 JERROLD AV,,,,,,,,,5279033,2007-07-30,CONSTRUCTION,,5279,,,,,,,,,,Bayview Hunters Point,,,,,,,0.0,,,02-Aug-02,,200208022937,ERECT 4 STORY WAREHOUSE & OFFICE,,,,,,,,,,-1,,2007-07-30,02-Aug-02,,,,,65-J,,,,,Mixed,2007-07-30,CONSTRUCTION,"1675 Jerrold Av
(37.739412000000002, -122.390794)",033,,0.0,,,,,,,Other S Bayshore,9980.0,0.0,0.0,,0.0,4990.0,4990.0,0.0,0.0,,2268.0,4990.0,,,,data/raw/San_Francisco_Development_Pipeline_2012_Quarter_2.csv,,,,,,,,,,,,,,,,,4990.0,"('2007-07-30', '2007-07-30')",0.0,"('CONSTRUCTION', 'CONSTRUCTION')",,2,2012,,0.0,,,,,,,Construction,,,,,,,,,,,,,9980.0,,407.0,0.0,,,,0.0,,,,37.739412,-122.390794,,M-1,,Industrial,,M-1,
13644,13644,,,,1100 VAN NESS AV,,,,-20.0,0.0,,,CPMC HOSPITAL VAN NESS,APN 0694005,2015-07-17,CONSTRUCTION,,,201204208807.0,,2009.0885,,900200.0,,,,900200.0,Tenderloin,Geoffrey Nelson,,,415-600-7206,,,,,,,,,,TO DEMOLISH 2 STORY RETAIL BUILDING.,,,"Demolition of the exisitng Cathedral Hill hotel and office building and construction of a 15 story, 265-foot tall hospital on the entire block bounded by Franklin Street, Post STreet, Van Ness Avenue, and Geary Blvd.

Demolition of 7 existing propertie",Downtown,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",,-1.0,,,,2015-07-17,06/10/2010,,"(37.78609291930, -122.42023705100)",130-V,,,,,,,Mixed,2015-07-17,CONSTRUCTION,,,0.0,,,,,0.0,277873.0,19831.0,Downtown/Civic Center,,,,702067.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_4.csv,,,,50182.0,50182.0,Van Ness Corridor,,EWATTY,,,,,,,,,,"('2015-07-17',)",0.0,"('CONSTRUCTION',)",,4,2015,14747.0,,,,,-55493.0,,,,CASE TRACKING,Geoffrey Nelson,,,,,,SUPERVISORIAL DISTRICT 6,,,,1243002.0,,,,0.0,-25.0,0.0,-212653.0,,,,,37.786092919299996,-122.420237051,,,,,RC-4,,
14005,14005,,,,1470 MCALLISTER ST,,,,,0.0,0.0,,,APN 0776035,2015-05-22,CONSTRUCTION,,,201302150317.0,,,,,0.0,0.0,0.0,,Western Addition,,,,,,$900000.00,,,,,,,,ERECT 4-STORY TYPE V NEW MULTIFAMILY DWELLING,,,,Western Addition,"RESIDENTIAL- MIXED, LOW DENSITY",,,,-1.0,,2015-05-22,02/15/2013,,,,,40-X,,0.0,0.0,0.0,Resident,2015-05-22,CONSTRUCTION,"(37.7782758913, -122.436398)",,,,0.0,0.0,0.0,,,,Western Addition,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,,,,,,,,,,,,,"('2015-05-22', '2015-05-22', '2015-05-22')",0.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",APARTMENTS,1,2016,,,0.0,0.0,0.0,,,,,,,,,,,,SUPERVISORIAL DISTRICT 5,,,,,,,,3.0,3.0,,,,0.0,0.0,0.0,37.7782758913,-122.436398,,RM-1,,,,,
14374,14374,,,,2558 - 2564 MISSION ST,,,,,0.0,0.0,,Alta Vista School,APN 3616084,2016-03-17,PL FILED,,,,,2016-003529PRJ,,,0.0,14519.0,14519.0,,Mission,,,,,,$0.00,,,,,,,,,,,,Mission,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,,,,0.0,,2016-03-17,03/17/2016,,,,,85-X,,0.0,0.0,0.0,CIE,2016-03-17,PL FILED,"(37.7559787871, -122.419149)",,,,0.0,0.0,0.0,,,,Mission,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,Mission (EN),,,,,,,,,Proposed change of use of (E) commercial space into (N) hands-on learning environment.,,,"('2016-03-17',)",0.0,"('PL FILED',)",,1,2016,,,14519.0,-14519.0,0.0,,,,,,,,,,,,SUPERVISORIAL DISTRICT 9,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,37.7559787871,-122.419149,,NCT-MISSION,,,,,
9697,9697,January 27 2015,ISSUED,,645 TEXAS ST,0.0,,0.0,,,,,1300 22nd Street,4102026,2015-01-27,BP ISSUED,,,201312093691.0,,2012.1218,,0.0,,,,0.0,Potrero Hill,Christopher Davenport,,,925 309-2503,,,,,,,,,,ERECT 5-STORY TYPE-V NEW RESIDENTIAL BUILDING.,,,"The proposed project would construct a new 4-story, 94 unit residential project over 64 off-street parking spaces. The proposed building would be 4 stories and 45 feet in height.",South of Market,MIXED USE-RESIDENTIAL,,,True,,May 09 2013,2015-01-27,,,"(37.75796340920, -122.39457181300)",40-X,,,,,,,Resident,2015-01-27,BP ISSUED,,,0.0,,,,,0.0,0.0,-10000.0,Potrero Hill,,,,-30000.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_1.csv,,,,0.0,-20000.0,,,DSANCHEZ,,,,,,,,,,"('2013-05-09', '2013-05-09', '2013-12-09', '2013-12-09', '2013-12-09', '2013-12-09', '2015-01-27', '2015-01-27')",0.0,"('PL FILED', 'PL FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED')",,1,2015,0.0,,,,,0.0,,,,CASE TRACKING,Peter & Daniel Cliff,,,,,,SUPERVISORIAL DISTRICT 10,,,,0.0,,,,94.0,94.0,0.0,0.0,,,,,37.7579634092,-122.394571813,,,,,MUR,,
11623,11623,,,,94110,,,,,0.0,,0.0,,APN 6570002,2015-02-05,PL FILED,,,,,2013.077,,0.0,,,,0.0,Mission,,,,,,,,,,,,,,The existing laundry building ground floor space is to be converted into mixed use space: technology incubator/co-working space/technology oriented art space/with micro-cafe. A parklet application will likely be submitted. The building upgrades will incl,,,,,,,0.0,,,,2015-02-05,06/10/2013,,,55-X,,,,,,,Mixres,2015-02-05,PL FILED,"94110
(37.74883659100, -122.41725438700)",,0.0,,,,,0.0,4023.0,4023.0,Mission,,,,8046.0,,,,,,,,,,,,data/raw/San_Francisco_Development_Pipeline_2015_Quarter_3.csv,,,,0.0,0.0,Mission (EN),Mission,,,,,,,,,,,"('2015-02-05',)",0.0,"('PL FILED',)",,3,2015,2223.0,,,,,4023.0,,,,CASE TRACKING,,,,,,,,SUPERVISORIAL DISTRICT 9,,,6246.0,,,,6.0,5.0,0.0,0.0,,,,,37.748836591,-122.41725438700001,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,,,,NCT,,
13792,13792,,,,1020 BROADWAY,,,,,0.0,0.0,,,APN 0150054,2014-03-24,PL APPROVED,,,,,2006.1202,,,0.0,0.0,0.0,,Nob Hill,Brad Brewster,,,415-896-5900,,$3498200.00,,,,,,,,,,,,Northeast,"RESIDENTIAL- HOUSE, TWO FAMILY",,,,-1.0,,2014-03-24,12/03/2007,,,,,40-X,,0.0,0.0,0.0,Resident,2014-03-24,PL APPROVED,"(37.7972167593, -122.413811)",,,,0.0,0.0,0.0,,,,Russian Hill,,,,,,,,,,,,,0.0,0.0,0.0,data/raw/San_Francisco_Development_Pipeline_2016_Quarter_1.csv,,,,,,,,KCONNER,,,,,,,"Proposed project would involve a three-lot subdivision and the new construction of three two-unit buildings, one on each newly subdivided lot. The buildings would total approximately 19,000 sq. ft., 10 parking spaces, and would be approximately 40 feet i",,,"('2014-03-24', '2014-03-24', '2014-03-24')",0.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED')",,1,2016,,,0.0,0.0,0.0,,,,,,Steve Kendrick,,,,,,SUPERVISORIAL DISTRICT 3,,,,,,,,6.0,6.0,,,,0.0,0.0,0.0,37.7972167593,-122.41381100000001,,RH-2,,,,,
