APN,NAMEADDR,BESTSTAT,BESTDATE,CASENO,BPAPPLNO,PROPUSE,NEW_REHAB,Alias,LANDUSE,DESCRIPT,DBIDESC,UNITS,UNITSNET,AFFORDABLE,AFFORDABLENET,EntitlementStatus,PARKING,PARKINGNET,TOTAL_GSF,NET_GSF,CIE,CIENET,MED,MEDNET,MIPS,MIPSNET,PDR,PDRNET,RET,RETNET,VISIT,VISITNET,FILEDATE,PLANNER,SPONSOR,CONTACT,CONTACTPH,DECISION,DECDATE,ACTION,ACTDATE,SOURCE,SupeDistrict,PLANAREA,PLNDISTRICT,NEIGHBORHOOD,ZONING_SIM,DISTRICTNAME,HEIGHT_LIMIT,X,Y,geography
APN 5721077,349 RICHLAND AV,BP APPROVED,07/08/2015,,201303293381,PRKNG GARAGE/PUBLIC,,,Resident,,VERTICAL ADDITION AND REMODEL OF EXISTING GARAGE AND STORAGE AREA AT FRONT OF PROPERTY INTO RESIDENT,2,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,APPROVED,01/01/42193 12:00:00 AM,PERMIT TRACKING,D9,,Bernal Heights,Bernal Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.418447989,37.7359102555,"(37.73591025550, -122.41844798900)"
APN 1840015,1491 FUNSTON AV,BP FILED,04/02/2010,,201004029551,2 FAMILY DWELLING,R,,Resident,,"VERTICAL AND HORIZONTAL ADDITION. ADD 4TH FL PENTOUSE SUITE, FRONT AND REAR ROOF DECK, 2 STORY ADDITION AT REAR, CONVERT SINGLE FAMILY TO 2 UNITS, WIDEN GARAGE DOOR",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D7,,Inner Sunset,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.470678515,37.7603204117,"(37.76032041170, -122.47067851500)"
APN 1542039,430 03RD AV,BP ISSUED,10/24/2012,,201001225204,APARTMENTS,R,,Resident,,rear addition; 3-levels,3,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,ISSUED,01/01/41206 12:00:00 AM,PERMIT TRACKING,D1,,Richmond,Inner Richmond,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,-122.460691492,37.7804948011,"(37.78049480110, -122.46069149200)"
APN 4976019,750 JAMESTOWN AV,CONSTRUCTION,04/16/2009,2007.0078,200609071583,1 FAMILY DWELLING,,,Resident,Construct a new single-family dwelling unit.,TO ERECT ONE DWELLING UNIT WITH  3 STORY SINGLE FAMILY DWELLING,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/19/2007,JNAVARRE,John Hills,John Hills,510-534-1026,CEQA,,START WORK,01/01/39919 12:00:00 AM,CASE TRACKING,D10,Bayview Hunters Point,South Bayshore,Bayview,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,-122.389168387,37.7156197588,"(37.71561975880, -122.38916838700)"
APN 4964019,870 INGERSON AV,BP REINSTATED,05/23/2014,,200407027962,1 FAMILY DWELLING,,,Resident,,ERECT 1 DWELLING UNIT OF 3 STORIES.,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,REINSTATED,01/01/41782 12:00:00 AM,PERMIT TRACKING,D10,Bayview Hunters Point,South Bayshore,Bayview,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,-122.390405646,37.7179305658,"(37.71793056580, -122.39040564600)"
APN 1183010,601 BRODERICK ST,PL APPROVED,01/08/2013,2012.0871,,,N,,Resident,"Change of use, converting from church to single family dwelling with interior remodeling.",,1,1,0,0,-1,0,0,0,-4085,0,-4085,0,0,0,0,0,0,0,0,0,0,07/10/2012,ASTARR,Roman Rettner,Roman Rettner,415.867.2181,APPR/WC,01/01/41282 12:00:00 AM,,,CASE TRACKING,D5,,Western Addition,Haight Ashbury,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,-122.439974539,37.7758374088,"(37.77583740880, -122.43997453900)"
APN 0119025,1812 TAYLOR ST,BP ISSUED,07/13/2011,2010.0786,200709193055,APARTMENTS,R,,Resident,Add dwelling unit on ground floor with no expansion of the building,SITE PERMIT: ADD 3RD UNIT AT GROUND FLOOR ~450 SF. 3 PARKING SPACES PROVIDED IN GARAGE. MECH & PLUMB,3,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/08/2010,,,,,Approved,01/01/40567 12:00:00 AM,ISSUED,01/01/40737 12:00:00 AM,PERMIT TRACKING,D3,,Northeast,Russian Hill,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",40-X,-122.413752463,37.7991719972,"(37.79917199720, -122.41375246300)"
APN 5654023,209 PRENTISS ST,BP ISSUED,03/19/2015,2011.0793,201112090432,1 FAMILY DWELLING,N,,Resident,,ERECT 3 STORY SINGLE FAMILY RESIDENTIAL.,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,ISSUED,01/01/42082 12:00:00 AM,PERMIT TRACKING,D9,,Bernal Heights,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,-122.411893086,37.7399931203,"(37.73999312030, -122.41189308600)"
APN 1417029,228 17TH AV,PL FILED,05/06/2014,2014.0676,,,N,,Resident,The proposal is to demolish the existing building and build a 3-story over basement duplex,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/06/2014,SVELLVE,Jeremy  Schaub,Jeremy  Schaub,682-8060x103,,,,,CASE TRACKING,D1,,Richmond,Inner Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.476074265,37.7837435611,"(37.78374356110, -122.47607426500)"
APN 0155021,1370 PACIFIC AV,BP FILED,08/12/2014,2013.0884,201408123679,1 FAMILY DWELLING,N,,Resident,"Demo existing structure and construct new mixed-use, commercial/residential building with parking.","ERECT 4-STORY, 1 BASEMENT, SINGLE FAMILY DWELLING UNIT BUILDING.",1,1,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,252,0,0,,,,,,,,,,PERMIT TRACKING,D3,,Northeast,Nob Hill,NCD,PACIFIC AVENUE NEIGHBORHOOD COMMERCIAL,40-X,-122.417763154,37.7956826009,"(37.79568260090, -122.41776315400)"
APN 3116006,400 HEARST AV,PL FILED,09/26/2014,2014.1487,,,N,,Resident,Variance request to the front setback requirement to permit the new construction of a single family dwelling on an existing vacant lot.,,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/26/2014,,Edward Brady,Raj Yadav,510-870-2340,,,,,CASE TRACKING,D7,,Ingleside,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,-122.446810657,37.7308287701,"(37.73082877010, -122.44681065700)"
APN 1729007,1239 21ST AV,BP FILED,04/16/2014,,201404163343,CHRISTMAS TREE LOT,R,,Resident,,"HORIZONTAL ADDITION & REMODEL ENTIRE HOUSE. WOODFRAME, SIDING, ELECTRIC, PLUMBING, CONCRETE FOUNDATI",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D4,,Outer Sunset,Outer Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.479671995,37.7645597981,"(37.76455979810, -122.47967199500)"
APN 1622025,668 23RD AV,BP APPROVED,07/21/2015,,201405135633,2 FAMILY DWELLING,R,,Resident,,3RD STORY VERTICAL ADDITION OF 1085 SQ.FT. WITH 2 BEDROOMS & 2 BATHS. HORIZONTAL ADDITION @ REAR OF,2,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,APPROVED,01/01/42206 12:00:00 AM,PERMIT TRACKING,D1,,Richmond,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.481901563,37.7751731983,"(37.77517319830, -122.48190156300)"
APN 4084018,2495 HARRISON ST,BP ISSUED,02/26/2015,2011.0079,201405226523,1 FAMILY DWELLING,N,,Resident,Expansion of existing building for use as a community center.,"REAR BUILDING - ERECT 2-STORY, TYPE 5, SINGLE FAMILY DWELLING BUILDING.",1,1,0,0,-1,0,0,0,-200,0,1200,0,0,0,0,0,0,0,-1400,0,0,,,,,,,,ISSUED,01/01/42061 12:00:00 AM,PERMIT TRACKING,D9,Mission (EN),Mission,Mission,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,-122.412054828,37.7575693108,"(37.75756931080, -122.41205482800)"
APN 5426030,2077 BANCROFT AV,CONSTRUCTION,07/13/2015,,201405166001,1 FAMILY DWELLING,N,,Resident,,"TO ERECT 2 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING BUILDING.",1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,REINFORCING STE,01/01/42198 12:00:00 AM,PERMIT TRACKING,D10,Bayview Hunters Point,South Bayshore,Bayview,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,-122.401916247,37.730465206,"(37.73046520600, -122.40191624700)"
APN 5529012,88 MONTCALM ST,BP ISSUED,07/22/2015,,201405307105,1 FAMILY DWELLING,N,,Resident,,TO ERECT 3 STORIES OF 1 FAMILY DWELLING,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,ISSUED,01/01/42207 12:00:00 AM,PERMIT TRACKING,D9,,Bernal Heights,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,-122.406527633,37.746868016,"(37.74686801600, -122.40652763300)"
APN 1407046,6423 CALIFORNIA ST,BP FILED,04/30/2014,,201404304602,2 FAMILY DWELLING,R,,Resident,,(E) 2ND FLOOR RESIDENTIAL UNIT OVER 1ST FLOOR VACANT COMMERCIAL SPACE. CONVERT 1ST FLOOR COMMERCIAL,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D1,,Richmond,Outer Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,-122.486511245,37.783567594,"(37.78356759400, -122.48651124500)"
APN 3786038,501 BRANNAN ST,PL FILED,05/20/2013,2012.1187,,,R,501-505 BRANNAN,MIPS,Construction of new 6-story office project on portion of lot now occupied by Bank of America parking lot. Bank branch will remain in place. Project will have main lobby and retail space on Brannan Street with an additional office entry fronting Bluxome S,,0,0,0,0,0,0,0,142225,133750,0,0,0,0,132095,132095,0,0,10130,1655,0,0,05/20/2013,,Bank of America,Amy Neches,400-2480,,01/01/41298 12:00:00 AM,,,CASE TRACKING,D6,Central SoMa; East SoMa (EN); South of Market,South of Market,South of Market,MUO,MIXED USE-OFFICE,85-X,-122.396686879,37.7777326188,"(37.77773261880, -122.39668687900)"
APN 3115043,625 MONTEREY BL,PL FILED,05/26/2010,2010.0401,,,N,,Retail/Ent,"The proposed project is the expansion of an existing grocery store from 19,344 sq.ft. to 40,722 sq.ft., and from 62 parking spaces to 92 parking spaces. Additionally, modifications to the existing public right-of-way and street median are planned to acco",,0,0,0,0,0,0,0,40722,21378,0,0,0,0,6905,6905,0,0,33817,14473,0,0,05/26/2010,,Fred Ponce,Fred Ponce,415-362-4662,,,,,CASE TRACKING,D7,,Ingleside,Outer Mission,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",32-X,-122.449550896,37.7312314157,"(37.73123141570, -122.44955089600)"
APN 4316002,1100 Cesar Chavez Street,PL APPROVED,07/21/2015,2015-007177PRJ,,,,,Mixed,"Interior renovations and exterior modifications to existing PDR building. Increase accessory office use by 4,206 sf.",,0,0,0,0,-1,0,0,26994,1694,0,0,0,0,8405,4206,18589,-2512,0,0,0,0,06/08/2015,,Veritable Vegetable,,(415) 550-48,CEQA,01/01/42206 12:00:00 AM,,,CASE TRACKING,D10,Central Waterfront (EN),South Bayshore,Potrero Hill,PDR-1-G,"PRODUCTION, DISTRIBUTION & REPAIR - 1 - GENERAL",80-X,-122.389020353,37.7504527903,"(37.75045279030, -122.38902035300)"
APN 3788042,333 BRANNAN ST (aka 329 BRANNAN ST),PL APPROVED,08/15/2013,2012.0906,,,R,,MIPS,"Demolish a surface parking lot and two industrial bldgs totaling 13,740 sf; and construct a 65-foot tall, six-story building with 175,881 sf of office, 2,572 sf of ground-floor retail along Brannan Street,  and 72 below-ground parking spaces (44 valet, 3",,0,0,0,0,-1,23,0,175881,162141,0,0,0,0,175881,175881,0,-13740,0,0,0,0,10/19/2012,,John Kevlin,John Kevlin,415.567.9000,Approved,01/01/41501 12:00:00 AM,,,CASE TRACKING,D6,Central SoMa; East SoMa (EN); South of Market,South of Market,South of Market,MUO,MIXED USE-OFFICE,65-X,-122.392416985,37.780918014,"(37.78091801400, -122.39241698500)"
APN 5253001,1601 GALVEZ AV,CONSTRUCTION,07/17/2015,,201209119461,OFFICE,N,,PDR,,"TO ERECT 2 STORIES, TYPE 3, WAREHOUSE/OFFICE NEW BUILDING.",0,0,0,0,-1,0,0,7200,3600,0,0,0,0,0,0,7200,3600,0,0,0,0,,,,,,,,REINFORCING STE,01/01/42202 12:00:00 AM,PERMIT TRACKING,D10,Bayview Hunters Point,South Bayshore,Bayview,PDR-1-B,PDR LIGHT INDUSTRIAL BUFFER,40-X,-122.388086473,37.7405855262,"(37.74058552620, -122.38808647300)"
APN 1410021,2224 Clement Street,PL FILED,06/17/2015,2014-001676PRJ,,,R,,Resident,New construction of a 16 unit condominium building comprised of a parking garage at 5' below grade and four floors of units on podium at 5' above grade.  The site is currently used as a parking lot.,,16,16,0,0,0,6840,-3160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/23/2015,SLAI,,,408 998-4087,FILED,01/01/42172 12:00:00 AM,,,CASE TRACKING,D1,,Richmond,Outer Richmond,NCD,OUTER CLEMENT STREET NEIGHBORHOOD COMMERCIAL,40-X,-122.4834173,37.7823345905,"(37.78233459050, -122.48341730000)"
APN 3511015,1532 HOWARD ST,BP FILED,05/30/2014,2013.1305,201405307085,,R,,Resident,Demolition of an existing one-story commercial building and the proposed new construction of a six-story residential building with 15 single room occupancy units.,"ERECT 6-STORY, TYPE 1, 15 DWELLING UNITS BUILDING. COMPLIANCE W/ ORDINANCE NO. 155-13 NOT REQUIRED.",15,15,0,0,0,0,0,0,-1482,0,0,0,0,0,0,0,0,0,-1482,0,0,11/19/2013,,Aidin Massoudi,Aidin Massoudi,922-0200x105,,,,,CASE TRACKING,D6,Western SoMa (EN); South of Market,Mission,South of Market,WMUG,WSOMA MIXED USE-GENERAL,55-X,-122.416284263,37.772817627,"(37.77281762700, -122.41628426300)"
APN 3518006,248 - 252 09TH ST,CONSTRUCTION,02/09/2015,2010.0222,201303122049,,N,,Mixres,"The proposed project is the demolition and new construction of two buildings. The project involves demolition of two 2,250 sq.ft buildings, and construction of two buildings. 248 9th Street would be commercial building totaling 11,066 sq.ft., and 252 9th","TO ERECT 5 STORIES, 15 UNITS MULTI-FAMILY RESIDENTIAL WITH 1 COMMERCIAL UNIT.",15,15,0,0,-1,4,0,14826,5326,0,0,0,0,14826,14826,0,-5000,0,-4500,0,0,03/26/2010,KZUSHI,Stanley Chia,Stanley Chia,415-830-1663,,,SHEETROCK NAILI,01/01/42044 12:00:00 AM,CASE TRACKING,D6,Western SoMa (EN); South of Market,South of Market,South of Market,RCD,REGIONAL COMMERCIAL,55-X,-122.412583504,37.7741768194,"(37.77417681940, -122.41258350400)"
APN 3617008,1050 VALENCIA ST,CONSTRUCTION,04/29/2015,2007.1457,201012277437,,N,,Mixres,"New Construction of 16-du Res Mixed Use bldg, w/25,000-gsf residential, 2,000-gsf retail, and 2,800 full basement storage, totalling 30,480 with one loading space retained.  Demolition of 1970-constrone-story SPORK restaurant bldg and parking, and replac","ERECT 5 STORIES OF 15 DWELLING UNITS, WITH COMMERCIAL,TYPE 5.",15,15,0,0,-1,1,-2,2000,400,0,0,0,0,0,0,0,0,2000,400,0,0,03/12/2010,JBATTIS,Stephen Antonaros,Stephen Antonaros,415.864.2261,,,REINFORCING STE,01/01/42123 12:00:00 AM,CASE TRACKING,D8,Mission (EN),Mission,Mission,NCT,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT,55-X,-122.421317652,37.7559439906,"(37.75594399060, -122.42131765200)"
APN 0506036,1727 LOMBARD ST,PL FILED,01/31/2012,2012.0095,,,N,,Resident,"Group housing for post-secondary educational institution (Academy of Art University).   Subject property contains 52 guest rooms and is currently a tourist motel.  Property features split-zoning, with front portion zoned NC-3 (group housing is principall",,14,14,0,0,0,0,0,0,-16000,0,0,0,0,0,0,0,0,0,0,0,-16000,01/31/2012,EWATTY,Elisa Stephens,Bob Passmore,415-567-9872,,,,,CASE TRACKING,D2,,Marina,Marina,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X,-122.430031375,37.8003213909,"(37.80032139090, -122.43003137500)"
APN 3554003A,1924 MISSION ST,PL FILED,02/12/2015,2014.0449,,,,,Mixres,The proposed project would demolish existing autobody shop and construct a new 13 unit apartment building with ground floor retail space.  Change of use from autobody shop to apartment building. The proposed project will have no off street parking and 16,,13,13,0,0,0,0,0,2515,2515,2515,2515,0,0,0,0,0,0,0,0,0,0,03/21/2014,JSPEIRS,,,,FILED,01/01/42047 12:00:00 AM,,,CASE TRACKING,D9,Mission (EN),Mission,Mission,NCT,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,80-X,-122.420120722,37.7662988444,"(37.76629884440, -122.42012072200)"
APN 1084001B,1 Stanyan Street,BP APPROVED,03/26/2009,2007.0113,200712140534,,,,Mixres,"The proposed project would demolish the existing gas station and construct a new 13-unit residential building with 1,700 sq. ft. of ground floor retail and 14 parking spaces. The building would be approx. 24,256 sq ft, four-stories, and 40 feet in height","ERECT A NEW 4 STORIES, 13 UNITS MIXED USE BUILDING",13,13,0,0,-1,14,14,1700,-1807,0,0,0,0,0,0,0,0,1700,-1807,0,0,01/30/2007,SVELLVE,John E. McInerney Esq.,Bruce Baumann,415 551-7884,GRANTED WITH CO,01/01/39525 12:00:00 AM,,,CASE TRACKING,D1,,Richmond,Inner Richmond,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X,-122.456521625,37.7810723638,"(37.78107236380, -122.45652162500)"
APN 3197010,1446 OCEAN AV,BP ISSUED,03/19/2015,2008.0538,200810315636,,N,,Resident,Demolition of an existing gas station with accessory use and construction of a 4-story building with 13 residential units over commercial space and a 13-car garage.,"ERECT 4 STORIES COMMERCIAL & RESIDENTIAL, 13 DWELLING UNITS BUILDING.",13,13,0,0,-1,0,0,0,-2500,0,0,0,0,0,0,0,0,0,-2500,0,0,05/15/2008,MSMITH,David Silverman,,,,,ISSUED,01/01/42082 12:00:00 AM,CASE TRACKING,D7,Balboa Park,Ingleside,West of Twin Peaks,NCT,OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT,45-X,-122.457881965,37.7245330008,"(37.72453300080, -122.45788196500)"
APN 3987010,140 PENNSYLVANIA AV,BP ISSUED,08/06/2014,2011.0187,200408040564,APARTMENTS,,,Resident,,ERECT A 5 STORIES 12 UNIT RESIDENTIAL BLDG,12,12,5,5,-1,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,CTEAGUE,,,,,,ISSUED,01/01/41857 12:00:00 AM,PERMIT TRACKING,D10,Showplace Square/Potrero Hill (EN),South of Market,Potrero Hill,UMU,URBAN MIXED USE,40-X,-122.39410864,37.7647823789,"(37.76478237890, -122.39410864000)"
APN 4991600,101 EXECUTIVE PARK BL,BP FILED,10/25/2010,2003.1113,200512281146,APARTMENTS,,,Resident,,GRADING,110,12,60,60,-1,0,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/23/2003,JBANALES,,,,Approved,01/01/38519 12:00:00 AM,REINSPECT REQUI,01/01/40476 12:00:00 AM,PERMIT TRACKING,D10,Bayview Hunters Point; Executive Park,South Bayshore,Bayview,C-2,COMMUNITY BUSINESS,40-X,-122.395446655,37.7126757528,"(37.71267575280, -122.39544665500)"
APN 4591C068,421 HUDSON AV,CONSTRUCTION,07/28/2015,,201202295146,APARTMENTS,,,Resident,,"TO ERECT 3 STORIES, 9 UNITS RESIDENTIAL BUILDING WITH PRIVATE PARKING.",9,9,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/29/2012,,,,,,,"ROUGH FRAME, PA",01/01/42213 12:00:00 AM,PERMIT TRACKING,D10,Hunters Point Shipyard,South Bayshore,Bayview,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",HP-RA,-122.368425864,37.728496005,"(37.72849600500, -122.36842586400)"
APN 0843016,690 PAGE ST,BP ISSUED,06/25/2015,2012.0909,201305217457,APARTMENTS,N,,Resident,"The proposal is to demolish the existing single-story, non-residential building and construct four, three-unit residential buildings. The project includes subdivision of the corner lot into four parcels.",Multiple Permits,12,12,1,1,-1,0,0,0,-2048,0,-2048,0,0,0,0,0,0,0,0,0,0,,CLAMOREN,,,,,,ISSUED,01/01/42180 12:00:00 AM,PERMIT TRACKING,D5,,Buena Vista,Western Addition,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,-122.432031853,37.7730643625,"(37.77306436250, -122.43203185300)"
APN 4591C069,198 COLEMAN ST,CONSTRUCTION,04/22/2015,,200912223676,APARTMENTS,,,Resident,,"TO ERECT 3 STORY TYPE 5B, 12 UNITS RESIDENTIAL WITH PARKING.",12,12,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/22/2009,,,,,,,REINSPECT REQUI,01/01/42116 12:00:00 AM,PERMIT TRACKING,D10,Hunters Point Shipyard,South Bayshore,Bayview,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",HP-RA,-122.36834995,37.7282688322,"(37.72826883220, -122.36834995000)"
APN 4591C098,200 COLEMAN ST,CONSTRUCTION,07/08/2015,,200912223674,APARTMENTS,,,Resident,,TO ERECT 3 STORY TYPE 5 12 UNITS RESIDENTIAL WITH PARKING,12,12,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/22/2009,,,,,,,CEILING INSPECT,01/01/42193 12:00:00 AM,PERMIT TRACKING,D10,Hunters Point Shipyard,South Bayshore,Bayview,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",HP-RA,-122.368909251,37.7276478867,"(37.72764788670, -122.36890925100)"
APN 4591C094,201 FRIEDELL ST,CONSTRUCTION,06/29/2015,,200912223677,APARTMENTS,,,Resident,,TO ERECT 3 STORY TYPE 5 12 UNITS RESIDENTIAL WITH PARKING,12,12,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/22/2009,,,,,,,"LATH, EXTERIOR",01/01/42184 12:00:00 AM,PERMIT TRACKING,D10,Hunters Point Shipyard,South Bayshore,Bayview,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",HP-RA,-122.369772515,37.7281384034,"(37.72813840340, -122.36977251500)"
APN 4591C032,576 HUDSON AV,BP FILED,01/14/2015,,201501145724,APARTMENTS,N,,Resident,,"CONSTRUCT (N) APARTMENT, GARAGE",11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D10,Hunters Point Shipyard,South Bayshore,Bayview,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",HP-RA,-122.368899993,37.7293040117,"(37.72930401170, -122.36889999300)"
APN 4591C078,10 INNES CT,BP ISSUED,06/29/2015,,201412194135,APARTMENTS,R,,Resident,,ALTERED SITE  ADDED ADDITIONAL FLOOR WENT FROM 21 UNITS TO 31 UNITS. ORIGINAL PA#201309277920.,31,10,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,ISSUED,01/01/42184 12:00:00 AM,PERMIT TRACKING,D10,Hunters Point Shipyard,South Bayshore,Bayview,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",HP-RA,-122.368048622,37.7279961861,"(37.72799618610, -122.36804862200)"
APN 3509005,140 09TH ST,CONSTRUCTION,01/29/2015,2010.0423,201105256770,MISC GROUP RESIDNS.,R,,Resident,,"Change of Occupancy from retail furniture store to mixed use(Art studio, Art gallery, Congregate living facility and efficiency apartments. Seismic upgrade per 3403.5.- Auto sprinkler system NFPA 13. Partitions, plumbing,mechanical, electrical & finish w",10,10,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,CTEAGUE,,,,,,ROUGH FRAME,01/01/42033 12:00:00 AM,PERMIT TRACKING,D6,Western SoMa (EN); South of Market,Downtown,South of Market,RCD,REGIONAL COMMERCIAL,55-X,-122.414257898,37.7754851363,"(37.77548513630, -122.41425789800)"
APN 2347004G,2350 19TH AV,BP ISSUED,07/11/2014,2007.0178,200708079019,,,,Resident,"The proposed project would demolish a 300 square foot carport/office shack, subdivide one lot into five new (25'x100') lots, and the construct two units on each lot for a total of ten dwelling units.",Multiple Permits,10,10,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/16/2007,INISHIMU,San Franc,Chris Fol,577-9885,Approved,,ISSUED,01/01/41831 12:00:00 AM,manual,D7,,Inner Sunset,Parkside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,-122.475368144,37.7440384463,"(37.74403844630, -122.47536814400)"
APN 5457037,2895 SAN BRUNO AV,BP ISSUED,08/19/2013,2010.0627,201209270766,,D,,Mixres,"convert gas station to 5 four story mixed use buildings on 11,250 sqft lot. The project would include new construction of a 5 four-story mixed-use buildings with 10 residential units, 4,230 sq.ft. of retail, and 6,748 sq.ft. of office.",,10,10,1,1,-1,10,10,10978,10978,0,0,0,0,6748,6748,0,0,4230,4230,0,0,07/29/2010,BFU,,,,Approved,01/01/41291 12:00:00 AM,ISSUED,01/01/41505 12:00:00 AM,PERMIT TRACKING,D9,,South Central,Excelsior,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",40-X,-122.402448713,37.7255411478,"(37.72554114780, -122.40244871300)"
APN 4591C020,536 HUDSON AV,BP FILED,01/14/2015,,201501145725,APARTMENTS,N,,Resident,,"CONSTRUCT (N) APARTMENT, GARAGE",10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D10,Hunters Point Shipyard,South Bayshore,Bayview,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",HP-RA,-122.368243334,37.7289308905,"(37.72893089050, -122.36824333400)"
APN 4913011,2889 JENNINGS ST,BP FILED,10/10/2014,,201410108662,APARTMENTS,N,,Resident,,"CONSTRUCT (N) 4-STORY, 9 DWELLING UNITS.",9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PERMIT TRACKING,D10,Bayview Hunters Point,South Bayshore,Bayview,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,-122.392796386,37.7221253364,"(37.72212533640, -122.39279638600)"
