NEIGHBORHOOD,APN,LANDUSE,BESTSTAT,BESTDATE,NAMEADDR,Alias,CASENO,DESCRIPT,BPAPPLNO,PROPUSE,DBIDESC,UNITS,UNITSNET,AFFORDABLE,AFFORDABLENET,TOTAL_GSF,NET_GSF,CIE,CIENET,MED,MEDNET,MIPS,MIPSNET,PDR,PDRNET,RET,RETNET,VISIT,VISITNET,FirstFiled,EntitledStatus,SPONSOR,CONTACT,CONTACTPH,PLANNER,SOURCE,SUPE_DIST,PLN_DISTRICT,PLN_AREA,HEIGHT,ZONING_SIM,ZONE_NAME,geography
Bayview,APN 5000001,Resident,BP FILED,10/27/2015,"HUNTERS POINT SHIPYARD, PHASE II",490 JAMESTOWN AV,,,201510270912,APARTMENTS,"BLDG #2. ERECT 5-STORY, TYPE 5, 63 UNITS, NO BASEMENT. NEW RESIDENTIAL BUILDING.",63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Bayview Hunters Point / Candlestick Point,CP,P,PUBLIC,"(37.71334402110, -122.38510692600)"
Western Addition,APN 1052024,Mixres,CONSTRUCTION,01/12/2016,2655 BUSH ST,,2005.1106,"Demolition of existing convalescent care facility and construction of 84 residential dwelling units and 4,500 sq. ft. of retail. Building would be 40' and 65' in height and would total 168,900 sq. ft. with 126 parking spaces.",201211093966,,ERECT 5-STORY TYPE V RESIDENTIAL & RETAIL BUILDING. GS,81,81,0,0,4500,-40617,0,0,0,-45117,0,0,0,0,4500,4500,0,0,04/29/2008,-1,Ernest McNabb,Warner Schmalz,252-7063,JBATTIS,CASE TRACKING,SUPERVISORIAL DISTRICT 2,Western Addition,,40-X,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE","(37.78582138060, -122.44076997800)"
Bayview,APN 5000001,Resident,BP FILED,10/27/2015,"HUNTERS POINT SHIPYARD, PHASE II",490 JAMESTOWN AV,,,201510270914,APARTMENTS,"BLDG #4. ERECT 5-STORY, TYPE 5, 81 UNITS, NO BASEMENT. NEW RESIDENTIAL BUILDING.",81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Bayview Hunters Point / Candlestick Point,CP,P,PUBLIC,"(37.71334402110, -122.38510692600)"
Downtown/Civic Center,APN 0283004A,Mixres,BP FILED,01/23/2013,620 SUTTER ST,,2005.0674,"The project is the alteration of and new addition to the Sheehan Hotel through change of use of the hotel for residential flats and ground floor retail, and a rear addition of a new 12-story building, replacing an existing 2 to 4 story structure.  The to",201301238536,,TO DUCUMENT CHANGE OF USE FROM HOTEL TO GROUP HOUSING.,78,78,0,0,55735,-46435,0,0,0,0,0,0,0,0,4650,4650,51085,-51085,07/14/2005,0,Joel Yodowitz,Joel Yodowitz,415 567-9000,RCOOPER,CASE TRACKING,SUPERVISORIAL DISTRICT 3,Downtown,Downtown,80-130-F,C-3-G,DOWNTOWN- GENERAL,"(37.78924086080, -122.41073029600)"
Downtown/Civic Center,APN 0343001,Mixres,PL FILED,10/23/2015,57 TAYLOR,,2015-007525PRJ,Subdivision of parcel containing a mixed-use residential and retail building and a surface parking lot.  Demolition of a portion of the existing structure (vacant retail space).  New construction of a twelve (12) story over basement mixed-use residential,,,,190,78,0,0,0,-12000,0,0,0,0,0,0,0,0,0,-12000,0,0,10/13/2015,0,,,,,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,,80-T-120-T,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY","(37.78289013610, -122.41106241100)"
South of Market,APN 3751029,Resident,PL APPROVED,12/18/2015,750 HARRISON ST,,2013.0485,"The proposed project would invove demolition of existing one-story commercial building (constructed in 1954) and construction of a new eight-story, residential building.  The proposed building would consist of seven residential levels with 77 units, over",,SRO,,77,77,9,9,2801,-2523,0,0,0,0,0,0,0,-5324,2801,2801,0,0,04/18/2013,-1,,,,DVU,CASE TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Central SoMa / East SoMa (EN),85-X,MUO,MIXED USE-OFFICE,"(37.78178071100, -122.39867574900)"
Mission,APN 3973002C,Resident,CONSTRUCTION,01/13/2016,480 POTRERO AV,,2011.043,"To construct a 6-story building over underground parking at 480 Potrero Avenue between Mariposa & 17th Street.  The new building will have 84 residential units, totaling approx. 85,490 sq. ft. including studio, one bedroom, two bedroom, and three bedroom",201306250465,CONVALESCENT HOME,"ERECT 6-STORY, 77 APTS, 1 BASEMENT, MIXED USE COMMERCIAL & PARKING BUILDING.",77,77,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/04/2012,-1,480 Potre,480 Potre,415.434.9,DHELMUTH,CASE TRACKING,SUPERVISORIAL DISTRICT 10,Mission,Mission (EN),58-X,UMU,URBAN MIXED USE,"(37.76347766140, -122.40767136500)"
Pacific Heights,APN 0629037,Resident,CONSTRUCTION,01/12/2016,2101 & 2155 WEBSTER ST,,2013.0227,,201311222660,APARTMENTS,RENOVATE (E) OFFICE BLDG & DENTAL SCHOOL INTO 66-DWELLING UNITS. ADDITIONALLY PROPOSED PROJ WOULD CO,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/22/2013,-1,,,,GCABRERO,PERMIT TRACKING,SUPERVISORIAL DISTRICT 2,Marina,,160-F,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.79029604720, -122.43277198300)"
Financial District,APN 3719010,Mixres,CONSTRUCTION,01/07/2016,181 FREMONT ST,,2007.0456,"66-story office mixed-use high-rise project, 796,933 total gsf, 878-ft, with class A office space (floors 2-44), 140 units residential (floors 47-65), with sky lobby, and auto lift-accessed 241-space 4-level underground parking;  requiring demolition of",201305015894,,"TO ERECT 54 STORIES, 5 BASEMENT, 74 RESIDENTIAL WITH COMMERCIAL, PARKING BUILDING.
",74,74,0,0,530316,492866,0,0,0,0,530316,492866,0,0,0,0,0,0,05/15/2007,-1,Daniel Kingsley,Daniel Kingsley,415.421.8200,SJONES,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,Transbay / Transit Center District / Downtown,700-S-2,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),"(37.78964243830, -122.39522079000)"
South of Market,APN 3789003,Resident,CONSTRUCTION,11/04/2015,72 TOWNSEND ST,,2007.0894,76 new construction / mixed,200705010136,RETAIL SALES,"7 STORY ADDITION TO EXISTING 2 STORY COMMERCIAL WAREHOUSE, HIGH RISE BUILDING. ADDITION OF RETAIL, PARKING & 74 RESIDENTIAL UNITS.",74,74,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/01/2007,-1,,,,DSANCHEZ,PERMIT TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,East SoMa (EN),105-F,SB-DTR,SOUTH BEACH DOWNTOWN RESIDENTIAL,"(37.78138808910, -122.39035259500)"
Mission,APN 3962008,Mixres,CONSTRUCTION,01/05/2016,346 POTRERO AV,,2012.0793,"The proposed project is the demolition of an existing car wash and construction of new 9-story mixed-use building with 75 dwelling unit, and 3,375 sf of ground floor commercial, and 57 off-street residential parking spaces.",201311202405,,ERECT 9 STORIES OF 72 DWELLING UNITS. MIX USE,72,72,11,11,3375,3375,0,0,0,0,0,0,0,0,3375,3375,0,0,10/12/2012,-1,Christopher Davenport,Christopher Davenport,925 309-2503,DSANCHEZ,CASE TRACKING,SUPERVISORIAL DISTRICT 10,Mission,Mission (EN),85-X,UMU,URBAN MIXED USE,"(37.76513959890, -122.40781646000)"
Bayview,APN 5000001,Resident,BP FILED,10/27/2015,"HUNTERS POINT SHIPYARD, PHASE II",490 JAMESTOWN AV,,,201510270913,APARTMENTS,"BLDG #3. ERECT 5-STORY, TYPE 5, 71 UNITS, NO BASEMENT. NEW RESIDENTIAL BUILDING.",71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Bayview Hunters Point / Candlestick Point,CP,P,PUBLIC,"(37.71334402110, -122.38510692600)"
Downtown/Civic Center,APN 0785029,Mixres,CONSTRUCTION,01/14/2016,PARCEL F,344 - 388 FULTON ST,2012.0325,"Sponsor is proposing two structures (1) a four-story, 60,049 sf
 Boys & Girls Club clubhouse and recreation facility including a pool, gymnasium and administrative offices, and (2) a six-story, 36,609 sf building with 60-75 dwelling units and 3,771 sf o",201303273113,,"ERECT 6 STORIES, NO BASEMENT, 69 UNITS RESIDENTIAL APARTMENTS WITH GROUND FLOOR RETAIL.",69,69,8,8,63820,63820,60049,60049,0,0,0,0,0,0,3771,3771,0,0,11/07/2012,-1,David Noyola,David Noyola,415-263-9144,KGUY,CASE TRACKING,SUPERVISORIAL DISTRICT 5,Western Addition,Market and Octavia,65-X,NCT-3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,"(37.77907202590, -122.42287966300)"
Potrero Hill,APN 4059009,Mixres,BP APPROVED,12/26/2014,2290 03RD ST,2298 03RD ST,2005.0408,"Demolition of an existing one-story, commercial building and construction of a six-story, mixed-use building with 80 dwelling units, 80 off street parking spaces and appx. 14,000 GSF of ground floor commercial use.",201309257711,APARTMENTS,"TO ERECT 6 STORIES, 1 BASEMENT, 69 UNITS RESIDENTIAL, COMMERCIAL & PARKING BUILDING.",69,69,0,0,14000,14000,0,0,0,0,0,0,0,0,14000,14000,0,0,04/26/2005,-1,Stu During,Stu During,415 986-0884,CTEAGUE,CASE TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Central Waterfront (EN),68-X,UMU,URBAN MIXED USE,"(37.76079824980, -122.38890195900)"
Potrero Hill,APN 4059001A,Resident,BP FILED,05/05/2014,815 TENNESSEE ST,,2013.022,"Demolition of the two-story 815-825 Tennessee buildings, retaining the brick facade on the corner of Tennessee & 19th Streets (listed as a known historic resource in the Central Watrefront Survey) and construction of a new 6-story apartment building with",201405054911,,"TO ERECT 5 STORIES, 1 BASEMENT, 69 UNITS RESIDENTIAL WITH PARKING BUILDING.
** MAHER: COMPLIANCE WIT",69,69,10,10,0,-32000,0,0,0,0,0,0,0,-32000,0,0,0,0,12/06/2013,-1,Nick Podell,Linsey Perlov,415-296-8800,RSUCRE,CASE TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Central Waterfront (EN),58-X,UMU,URBAN MIXED USE,"(37.76122837640, -122.38925074900)"
Western Addition,APN 0671006,Resident,CONSTRUCTION,01/08/2016,1450 FRANKLIN ST,,,,200809252660,APARTMENTS,"ERECT A 13 STORIES 69 RESIDENTIAL UNIT & COMMERCIAL BUILDING WITH PARKING;
DEMOLISH A 2 STORY AUTO SALES AND SERVICE GARAGE",69,69,9,9,0,-24000,0,0,0,0,0,0,0,0,0,-24000,0,0,09/25/2008,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 2,Western Addition,,130-E,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE","(37.78805629120, -122.42325307500)"
South of Market,APN 3519017,Resident,BP FILED,08/19/2015,1394 HARRISON ST,,2014.1213,,201508194769,APARTMENTS,ERECT SIX STORY 68 RESIDENTIAL UNITS AND COMMERCIAL BUILDING. MAHER ORDINANCE-EXTENDED REQUIRED.,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/19/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Western SoMa (EN) / South of Market,55-X,RCD,REGIONAL COMMERCIAL,"(37.77190640680, -122.41129830400)"
South of Market,APN 3731001,Mixres,CONSTRUCTION,11/03/2015,200 - 214 06TH ST,,2011.0119,"The proposed project is the demolition of an existing 144 room hotel buidling and construction of a new mixed - use building with 56 affordable dwelling units, approximately 3,074 sq.ft. of retail, and 15 off-street parking spaces.",201211295086,,ERECT 9 STORY 67 DWELLING UNITS.,67,67,67,67,3074,3074,0,0,0,0,0,0,0,0,3074,3074,0,0,02/09/2011,-1,,,,CTEAGUE,SFRA,SUPERVISORIAL DISTRICT 6,South of Market,East SoMa (EN) / South of Market,85-X,NCT,SOMA NEIGHBORHOOD COMMERCIAL TRANSIT,"(37.77937939010, -122.40710157400)"
South of Market,APN 3519063,Resident,PL FILED,12/03/2013,1335 FOLSOM ST,,2013.1281,"The proposed project would involve demolition of an existing one-story commercial building (constructed in 1923) and construction of a new seven-story, residential building of approximately 65' in height.  The proposed building shall consist of seven res",,,,65,65,0,0,0,-5700,0,0,0,0,0,0,0,-5700,0,0,0,0,12/03/2013,0,Tomas Janik,Tomas Janik,415-359-4397,DVU,CASE TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Western SoMa (EN) / South of Market,65-X,NCT,FOLSOM STREET NEIGHBORHOOD COMMERCIAL TRANSIT,"(37.77318439180, -122.41191612300)"
Outer Mission,APN 6969001,Mixres,BP APPROVED,03/13/2014,5050 MISSION ST,,2006.1213,"The proposed project would demolish the existing retail and auto repair shop and construct a 61-unit residential building, 8,000 sq. ft. of retail, and 82 parking spaces. The building would be 60 feet in height plus basement and would be approximately 11",201006104250,,,61,61,9,9,8000,7030,0,0,0,0,0,0,0,0,8000,7030,0,0,03/10/2008,-1,Paul O'Driscoll,Warner Schmalz,415-252-7063,BBOLLING,CASE TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,65-A,NCD,EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT,"(37.71773277030, -122.44058782900)"
Potrero Hill,APN 4041009,Resident,BP ISSUED,12/24/2014,650 INDIANA ST,660 INDIANA ST,2012.1574,"The proposed project includes demolition of the existing structures on the project site and construction of an approximately 114,700 sf building with 111 residential units and approximately 1,900 sf of ground-floor neighborhood-serving retail uses. The p",201312244989,AUTO REPAIR,"ERECT 5 STORIES, 60 DWELLING UNITS.",60,60,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/24/2013,-1,,,,DSANCHEZ,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Central Waterfront (EN),58-X,UMU,URBAN MIXED USE,"(37.76214783040, -122.39186164400)"
Castro/Upper Market,APN 3542041,Mixres,PL APPROVED,07/07/2014,2100 MARKET ST,,2014.0519,"The proposed project is to demolish an existing 2-story mixed-used building and construct a 7-story, mixed-use residential and retail building.  The proposed new building will include 64 dwelling units, on grade parking for 15 cars with car lifts, and 4,",,,,60,60,0,0,3450,-956,0,0,0,0,0,0,0,0,3450,-956,0,0,10/02/2014,-1,Brian Spiers,Brian Spiers,415-445-4670,MSMITH,CASE TRACKING,SUPERVISORIAL DISTRICT 8,Buena Vista,Market and Octavia,60/65-X,NCT,UPPER MARKET NEIGHBORHOOD COMMERCIAL TRANSIT,"(37.76750942700, -122.42943198700)"
Mission,APN 4023004A,Resident,PL FILED,11/17/2014,2750 19TH ST,,2014.0999,Partial or total demolition of existing structure.  The project will provide 60 residential units with a landscaped courtyard at 2nd floor above ground floor retail and basement parking.,,,,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/17/2014,0,,,,,CASE TRACKING,SUPERVISORIAL DISTRICT 10,Mission,Mission (EN),68-X,UMU,URBAN MIXED USE,"(37.76079955540, -122.40971603300)"
Potrero Hill,APN 4044013,Resident,PL FILED,05/30/2013,777 TENNESSEE ST,,2013.0312,The proposed project would involve the demolition of an existing two-story light industrial building and construction of a new multi-family building.  The proposed new building would include 59 Residential units over below grade parking which would conta,201507141485,,,59,59,8,8,0,-15500,0,0,0,0,0,0,0,-15500,0,0,0,0,05/30/2013,0,Gary Burk,Mitchell Benjamin,882-9783 x10,CTOWNES,CASE TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Central Waterfront (EN),58-X,UMU,URBAN MIXED USE,"(37.76202676660, -122.38932447700)"
Potrero Hill,APN 3999002,Mixres,BP FILED,07/16/2015,249 PENNSYLVANIA AV,,2014.1279,Demolition of two (2) existing hardware warehouses and new construction of a 4-story building with 3 stories of residential units and ground floor with residential/commercial spaces.  Proposed parking on ground floor/basement level to provide 44.,,,,59,59,7,7,6094,-13031,0,0,0,0,0,0,0,-19125,6094,6094,0,0,08/19/2014,0,,,,CTOWNES,CASE TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),40-X,P,PUBLIC,"(37.76297137390, -122.39317202400)"
Bayview,APN 5000001,Resident,BP FILED,10/27/2015,"HUNTERS POINT SHIPYARD, PHASE II",490 JAMESTOWN AV,,,201510270915,APARTMENTS,"BLDG #5. ERECT 5-STORY, TYPE 5, 58 UNITS, NO BASEMENT. NEW RESIDENTIAL BUILDING.",58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Bayview Hunters Point / Candlestick Point,CP,P,PUBLIC,"(37.71334402110, -122.38510692600)"
Parkside,APN 2515001,Resident,BP ISSUED,01/11/2016,2800 SLOAT BLVD,,2005.1066,"Demolition of existing buildings and construction of three new five-story buildings with a total of 55 dwelling units, 48 parking spaces in an underground parking garage, 26,000 gsf of ground floor retail, and 34 covered spaces for the commercial use.",201402047761,,"TO ERECT 5 STORIES, 1 BASEMENT, 56 UNITS RESIDENTIAL OVER COMMERCIAL, MIXED USED BUILDING.",56,56,1,1,0,9656,0,0,0,0,0,0,0,0,0,26000,0,-16344,07/19/2007,-1,Kieran O'Carroll,Rachel Hamilton,510-547-6914,KCONNER,CASE TRACKING,SUPERVISORIAL DISTRICT 4,Outer Sunset,Western Shoreline,100-A,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE","(37.73585377480, -122.50473733100)"
Bayview,APN 5000001,Resident,BP FILED,10/27/2015,"HUNTERS POINT SHIPYARD, PHASE II",490 JAMESTOWN AV,,,201510270916,APARTMENTS,"BLDG #6. ERECT 5-STORY, TYPE 5, 55 UNITS, NO BASEMENT. NEW RESIDENTIAL BUILDING.",55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Bayview Hunters Point / Candlestick Point,CP,P,PUBLIC,"(37.71334402110, -122.38510692600)"
Pacific Heights,APN 0570011,Resident,CONSTRUCTION,01/13/2016,1650 BROADWAY *,,2008.0862,,201203055396,APARTMENTS,"ERECT 7 STORIES, 2 BASEMENTS 34 DWELLING UNITS, TYPE 1-B BUILDING ON A VACANT LOT.",34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/05/2012,-1,,,,GCABRERO,PERMIT TRACKING,SUPERVISORIAL DISTRICT 2,Marina,,80-A,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY","(37.79591251690, -122.42447095500)"
Downtown/Civic Center,APN 0691001,Resident,PL FILED,11/20/2015,1145 POLK ST,,2014-001674PRJ,Demolition of existing building; construction of mixed-use building with retail space on first floor and 5 floors above of residential space consisting of 54 units of studio apartments.  Modification of existing basement to create subterranean parking lo,201511203273,APARTMENTS,"TO ERECT 6 STORIES, 1 BASEMENT, TYPE I-B / III-A, 54 UNITS RESIDENTIAL, RETAIL WITH PARKING BUILDING.",54,54,0,0,6990,-13737,0,0,0,0,0,-12477,0,0,6990,-1260,0,0,07/08/2015,0,,,,,CASE TRACKING,SUPERVISORIAL DISTRICT 3,Downtown,,65-A,NCD,POLK STREET NEIGHBORHOOD COMMERCIAL,"(37.78746580810, -122.42029839100)"
Mission,APN 3591024,Mixres,PL FILED,01/14/2016,793 SOUTH VAN NESS AV,,2015-001360PRJ,"the proposed project would demolish the existing gas station and construct a five-story residential building with ground floor retail space. The roof of the building would be 55 feet above street level, with roof deck, circulation penthouse, and mechanic",,,,54,54,0,0,4842,4842,0,0,0,0,0,0,0,0,4842,4842,0,0,07/23/2015,0,,,,,CASE TRACKING,SUPERVISORIAL DISTRICT 9,Mission,Mission (EN),55-X,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE","(37.76067284160, -122.41670119700)"
Mission,APN 3965021,Mixres,BP FILED,12/31/2015,2435 - 2445 16TH ST,2435 16TH ST,2014.1201,DEMOLISH AUTO REPAIR SHOP,201512316248,APARTMENTS,TO ERECT 7 STORIES OF 53 DWELLING UNITS (MIX USE BLDG TYPE I CONSTRUCTION),53,53,6,6,7399,-2598,0,0,0,0,0,0,0,-9997,7399,7399,0,0,08/01/2014,0,,,,EJACKSON,CASE TRACKING,SUPERVISORIAL DISTRICT 9,Mission,Mission (EN),68-X,UMU,URBAN MIXED USE,"(37.76532087500, -122.41111997800)"
Marina,APN 0936014,Mixres,PL FILED,03/25/2015,2444 LOMBARD ST,,2014.1183,"The proposed project is to demolish the existing building and construct a new mixed-use building consisting of 53 residential units, a basement-level residential parking garage, ground-floor retail space, and commercial parking.  The building would be fo",,,,53,53,1,1,2000,-6000,2000,-6000,0,0,0,0,0,0,0,0,0,0,07/30/2014,0,,,,DLINDSAY,CASE TRACKING,SUPERVISORIAL DISTRICT 2,Marina,,40-X,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE","(37.79941357340, -122.44205240600)"
Mission,APN 3635014,Mixres,PL FILED,07/14/2015,1198 VALENCIA ST,,2012.0865,Demo gas station structure and construct 42 dwelling units over commercial ground floor.,201507141495,APARTMENTS,CONSTRUCT (N) 5-STORY RESIDENTIAL MIXED USE BUILDING,52,52,0,0,5300,1833,0,0,0,0,0,0,0,0,5300,1833,0,0,07/05/2012,0,,,,DVU,PERMIT TRACKING,SUPERVISORIAL DISTRICT 8,Mission,Mission (EN),55-X,NCT,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT,"(37.75393177300, -122.42118351600)"
Downtown/Civic Center,APN 0766010,Mixres,PL FILED,10/01/2014,555 GOLDEN GATE AV,,2014.1102,"The proposed project is to demolish the existing two-story commercial building on a through lot with frontages on Golden Gate Avenue and Redwood Alley and construct a 10-story, 121-foot tall mixed-use building.  The existing building on the 8,000 square",,,,52,52,0,0,1000,-7000,0,0,0,0,0,0,0,0,1000,-7000,0,0,10/01/2014,0,Sean Sullivan,Nick Cranmer,415-501-0931,MWOODS,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,Van Ness Corridor / Civic Center,130-V,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY","(37.78087564120, -122.41959694200)"
Potrero Hill,APN 4041009,Resident,CONSTRUCTION,01/15/2016,650 INDIANA ST,680 INDIANA ST,2012.1574,"The proposed project includes demolition of the existing structures on the project site and construction of an approximately 114,700 sf building with 111 residential units and approximately 1,900 sf of ground-floor neighborhood-serving retail uses. The p",201312244992,APARTMENTS,TO ERECT 5 STORIES OF 51 DWELLING UNITS WITH ASSEMBLY/PARKING,51,51,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/24/2013,-1,,,,DSANCHEZ,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Central Waterfront (EN),58-X,UMU,URBAN MIXED USE,"(37.76214783040, -122.39186164400)"
Mission,APN 6571012,Resident,BP FILED,04/14/2015,3314 CESAR CHAVEZ ST,,,,201504143580,APARTMENTS,TO ERECT 6 STORIES OF 50 RESIDENTIAL UNITS 4 COMMERCIAL UNITS,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/14/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,Mission,Mission (EN),65-X,NCT,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,"(37.74852121690, -122.41646248300)"
Potrero Hill,APN 3952001B,Mixres,PL FILED,01/13/2016,75 ARKANSAS ST,,2015-009928PRJ,"Demolition of existing 1-story warehouse building.  Proposed new construction of a 4 story mixed-use building, with 8,150 sf of  ground floor retail and multipurpose space with 56,700 sf of residential over 3 floors of student housing consisting of 30 un",,,,50,50,0,0,8179,8179,0,0,0,0,0,0,0,0,8179,8179,0,0,09/15/2015,0,,,,,CASE TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),48-X,UMU,URBAN MIXED USE,"(37.76539471140, -122.39840956600)"
Downtown/Civic Center,APN 0744002,Resident,PL FILED,06/23/2015,807 FRANKLIN ST,,2013.1224,"The proposed project is the addition & alteration to a historic, single-family victorian home, including the removal of non-historic rear addition and expansion of penthouse and construction of a new 8-story, multi-family residential apartment building i",,,,50,49,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/08/2014,0,Toby Morris,Edward Morris,415 749-0302,SLAI,CASE TRACKING,SUPERVISORIAL DISTRICT 5,Western Addition,,80-B,RM-4,"RESIDENTIAL- MIXED, HIGH DENSITY","(37.78212012750, -122.42271086300)"
South of Market,APN 3703086,Resident,CONSTRUCTION,12/22/2015,570 JESSIE ST,,2005.1018,"Demolish existing 15,000 sq. ft. office/printing shop and construct 47 dwelling units and 24 parking spaces. Total sq. footage of new struction would be 31,135 (36,973, as of 3-28-2007) sq. ft. and building would be approximately 80' (74' 10"", as of 2-28",200602023710,APARTMENTS,"TO ERECT 8 STORY, 47 CONDO UNITS",47,47,6,6,0,-15000,0,0,0,0,0,0,0,-15000,0,0,0,0,02/02/2006,-1,Andrew Greene,Andrew Greene,415-412-8648,JMILLER,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,Downtown,120-F,C-3-G,DOWNTOWN- GENERAL,"(37.78077927600, -122.41031027400)"
Downtown/Civic Center,APN 0318020,Mixres,PL FILED,02/25/2013,651 GEARY ST,,2013.0212,"Demolish an existing 2-story vacant office building, and construct a new 13-story residential building with 1,100 sq.ft. retail space at ground floor.",,,,46,46,0,0,5945,-8010,0,0,0,0,0,-13955,0,0,5945,5945,0,0,08/15/2008,0,Career Re,Structura,650-588-4,TCHAN,manual,SUPERVISORIAL DISTRICT 6,Downtown,,80-T-130-T,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY","(37.78634415010, -122.41395546900)"
Financial District,APN 0287013,Mixres,PL FILED,10/14/2014,272 SUTTER ST,,2014.1569,"Reisidential & Retail. To construct a new, 10-story mixed-use, building containing approximately 45 dwelling units, a below grade parking garage with capacity to park up to 40 cars, and ground-floor and second floor retail space. Dwelling-unit exposure &",,,,45,45,0,0,16000,-19600,16000,-19600,0,0,0,0,0,0,0,0,0,0,10/14/2014,0,Steven Atkinson,,,MLAVALLE,CASE TRACKING,SUPERVISORIAL DISTRICT 3,Downtown,Downtown,80-130-F,C-3-R,DOWNTOWN- RETAIL,"(37.78995675230, -122.40508236200)"
Potrero Hill,APN 3948002,Resident,PL FILED,06/05/2014,98 PENNSYLVANIA AV,,2013.0517,"Proposed new construction of a five-story building at 98 Pennsylvania Avenue. The proposed design includes 45 residential units from first floor to fifth floor.  There will be 16 one-bedroom units, and 29 two-bedroom units.  The project shall also includ",,,,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/25/2013,0,,,,,CASE TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),48-X,UMU,URBAN MIXED USE,"(37.76556180700, -122.39422104300)"
South of Market,APN 3730004,Mixres,PL FILED,07/30/2014,230 07TH ST,,2014.0244,"The proposed project is to demolish the existing 14,230 square foot single-story garage parking building and construct two new buildings with an at grade inner court between the two buildings and an underground parking garage with 29 spaces.  The new bui",,,,44,44,0,0,415,415,0,0,0,0,0,0,0,0,415,415,0,0,07/30/2014,0,John Ramsbacher,John Ramsbacher,408-293-3616,EJACKSON,CASE TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Western SoMa (EN) / South of Market,65-X,WMUG,WSOMA MIXED USE-GENERAL,"(37.77729529940, -122.40912349400)"
