NEIGHBORHOOD,BLKLOT,NAMEADDR,UNITS,UNITSNET,BESTDATE,BESTSTAT,EntitlementStatus,CASENO,DESCRIPT,PLN_REVIEW,PLN_REVIEWDATE,BPAPPLNO,PROPUSE,DBIDESC,DBI_ACTION,DBI_ACTDATE,NEW_REHAB,source,TOTAL_GSF,RET,MIPS,CIE,MED,PDR,VISIT,NET_GSF,CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,FILEDATE,LANDUSE,StandardAddress,alias,Entitlement,sort,sizecat,AFFORDABLE,AFFNET,zoning_gen,ZONING_SIM,ZONINGDISTRICTNAME,HEIGHTLIMIT,SPONSOR,CONTACT,Geography
Potrero Hill,4108003F,2420 03RD ST,9,9,05/08/2014 12:00:00 AM,BP FILED,false,2013.0673,The proposed project would involve new construction of a 3-story with mezzanine mixed use building with 9 residential units and one commercial unit located at ground level. The project would have no off-street parking and 12 bicycle parking spaces.,,,201405085278,APARTMENTS,"ERECT 3 STORIES , 9 DWELLING UNITS, TYPE 5 BUILDING",,,N,CASE TRACKING,475,475,0,0,0,0,0,475,0,0,0,0,475,0,06/09/2014,Mixres,2420 03rd St,,false,BP Filed,2-9,0,0,Mixed Use,UMU,URBAN MIXED USE,45-X,Angus McCarthy,,"(37.758983999999998, -122.388699)"
Western Addition,1202002B,650 DIVISADERO ST,9,9,08/26/2014 12:00:00 AM,PL FILED,false,2013.1037,Existing 1-story auto repair warehouse building to be partially demolished in which part a 5-story 9-unit residential condominium building to be built.  The remaining portion of the building to be remodeled into 3 independent commercial  2 restaurants an,,10/31/2013,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/26/2014,Resident,650 Divisadero St,,false,Planning Filed,2-9,0,0,Mixed Use,NCD,DIVISADERO STREET NEIGHBORHOOD COMMERCIAL DISTRICT,65-A,Warner Schmalz,Warner Schmalz,"(37.775488000000003, -122.43763300000001)"
Bayview,4591C046,470 INNES AV,9,9,01/28/2015 12:00:00 AM,CONSTRUCTION,true,,,,,201202295145,APARTMENTS,,"ROUGH FRAME, PA",01/28/2015,,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/29/2012,Resident,470 Innes Ave,,true,Construction,2-9,0,0,Mixed Use,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",HP-RA,,,"(37.7299376, -122.372051)"
Bayview,4591C045,451 HUDSON AV,9,9,01/14/2015 12:00:00 AM,CONSTRUCTION,true,,,,,201202295147,APARTMENTS,,"ROUGH FRAME, PA",01/14/2015,,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/29/2012,Resident,900 Hudson Ave,,true,Construction,2-9,0,0,Mixed Use,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",HP-RA,,,"(37.733829999999998, -122.37718099999999)"
Downtown/Civic Center,0317005,436 OFARRELL ST,9,9,08/05/2008 12:00:00 AM,BP FILED,true,2009.0258,Conversion of nine offices into nine residential units.  One on-site BMR unit will be provided on-site.  All work will occur within the existing building.  Conditional Use Authorization required for reduction of off-street parking requirements in NOMARSU,Approved,05/02/2014,200808058406,APARTMENTS,CONVERTING OF NINE OFFICES TO NINE RESIDENTIAL UNITS,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,-9709,0,0,-9709,0,0,0,04/01/2009,Resident,436 O'Farrell St,,true,BP Filed,2-9,0,0,Mixed Use,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",80-T-130-T,,,"(37.786133399999997, -122.412012)"
Bayview,4591C068,421 HUDSON AV,9,9,01/14/2015 12:00:00 AM,CONSTRUCTION,true,,,,,201202295146,APARTMENTS,,"ROUGH FRAME, PA",01/14/2015,,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/29/2012,Resident,421 Hudson Ave,,true,Construction,2-9,0,0,Industrial,M-1,LIGHT INDUSTRIAL,HP-RA,,,"(37.731747800000001, -122.3736543)"
Russian Hill,0524031,1338 FILBERT ST,8,4,01/31/2011 12:00:00 AM,BP ISSUED,true,2009.0412,Renovation and remodel of exisitng cottages and construct a new 3-story addition at the rear of the lot.,GRANTED W/ COND,04/08/2010,201009271690,2 FAMILY DWELLING,,ISSUED,01/31/2011,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/15/2009,Resident,1338 Filbert St,,true,BP Approved/Issued/Re-Instated,2-9,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,Andrew Junius,,"(37.799951, -122.421565)"
Mission,3547032,49 JULIAN AV,8,8,01/26/2012 12:00:00 AM,PL APPROVED,true,2005.0233,"Construction of five-story eight-unit residential building of approximately 10,583-sf.  Demolition of existing 1962 light industrial warehouse, presently vacant.  No off-street parking existing and eight proposed.",Approved,01/26/2012,,,,,,,CASE TRACKING,0,0,0,0,0,0,0,-2914,0,0,0,-2914,0,0,05/26/2005,Resident,49 Julian Ave,,true,PL Approved,2-9,0,0,Mixed Use,UMU,URBAN MIXED USE,45-X,Tony Kim,Tony Kim,"(37.767417000000002, -122.420868)"
Ocean View,7088051,382 RANDOLPH ST,8,8,11/28/2011 12:00:00 AM,BP APPROVED,true,2010.0621,,,,200608290916,APARTMENTS,,APPROVED,11/28/2011,,PERMIT TRACKING,915,915,0,0,0,0,0,915,0,0,0,0,915,0,08/29/2006,Resident,382 Randolph St,,true,BP Approved/Issued/Re-Instated,2-9,0,0,Mixed Use,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",40-X,,,"(37.714301900000002, -122.46613910000001)"
South of Market,3753042,259 CLARA ST,8,8,05/16/2013 12:00:00 AM,BP FILED,false,2013.0106,"Demolition of a 24'-tall, two-story industrial building and construction of 45'-tall, five-story mixed-usel building with eight 2-bedroom residences over ground-floor office, and eight parking spaces. Height of building is 45'.",,,201305167075,APARTMENTS,"ERECT 5-STORY, TYPE 5, 1 BASEMENT, 8 UNITS DWELLING BUILDING.",,,N,PERMIT TRACKING,945,0,945,0,0,0,0,-3055,0,0,945,-4000,0,0,,Mixres,259 Clara St,,false,BP Filed,2-9,0,0,Mixed Use,MUR,MIXED USE-RESIDENTIAL,65-X,,,"(37.778448099999999, -122.40358639999999)"
Russian Hill,0572013,1458 BROADWAY,8,8,05/27/2014 12:00:00 AM,BP FILED,false,,,,,201405276744,APARTMENTS,CONSTRUCT N/6 STORIES RESID'L OCCUP. BLDG CHANGE OF USE & VERTICAL ADDITION TO CONVERT A 2 UNIT ST,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1458 Broadway St,,false,BP Filed,2-9,0,0,Residential,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",65-A,,,"(37.796210000000002, -122.421029)"
Potrero Hill,4172053,1179 TENNESSEE ST,8,8,12/18/2014 12:00:00 AM,CONSTRUCTION,true,2001.0451,,Withdrawn,08/06/2001,9902819,APARTMENTS,ERECT A FOUR STORY EIGHT UNIT RESIDENTIAL BLDG WITH COML,"LATH, EXTERIOR",12/18/2014,,BLDG PERMIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/26/2001,Resident,1179 Tennessee St,,true,Construction,2-9,0,0,Mixed Use,UMU,URBAN MIXED USE,45-X,,,"(37.7559927, -122.3890583)"
Downtown/Civic Center,0331001A,231 ELLIS ST,7,4,02/28/2013 12:00:00 AM,PL FILED,false,2009.0343,"Interior structural improvements and addition of 4 stories to existing 3-story building. Revised application rec'd 7/25/11: reduced addition to 3 stories, total 77.5' in ht, 14 res units (11,720 sf), and 8,685 sf retail. Revised drawings rec'd 3/7/13: 18",,,,,,,,R,CASE TRACKING,12460,0,12460,0,0,0,0,0,0,0,0,0,0,0,02/28/2013,Mixres,231 Ellis St,,false,Planning Filed,2-9,0,0,Mixed Use,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",80-T-130-T,Bruce Jones,Bruce Jones,"(37.785198800000003, -122.41015710000001)"
Crocker Amazon,6473039,5739 MISSION ST,7,5,10/09/2014 12:00:00 AM,BP FILED,false,2014-001103PRJ,,,,201410098562,APARTMENTS,"CONSTRUCT (N) 4-STORY, 7-UNIT CONDO.",,,N,PERMIT TRACKING,672,672,0,0,0,0,0,187,0,0,0,0,187,0,10/09/2014,Mixres,5739 Mission St,,false,BP Filed,2-9,0,0,Mixed Use,NCD,EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT,40-X,,BUCKLEY REAL ESTATE INC,"(37.709769999999999, -122.449078)"
Western Addition,1055013,726 PRESIDIO AV,7,7,11/12/2014 12:00:00 AM,BP FILED,false,,,,,201411121318,APARTMENTS,"TO ERECT 4 STORIES, 1 BASEMENT, 7 UNITS MULTI-FAMILY RESIDENT.
** MAHER: COMPLIANCE WITH ORDINANCE N",,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,726 Presidio Ave,,false,BP Filed,2-9,0,0,Residential,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",40-X,,,"(37.784992398599996, -122.445930186)"
Parkside,2393040,2255 TARAVAL ST,7,7,08/13/2013 12:00:00 AM,PL FILED,false,2013.0499,"Demolish existing auto service structure.  Erect new 5-story, 7-units residential, 3-units commercial mixed use building with 8 parking spaces.",,,,APARTMENTS,,,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/13/2013,Resident,2255 Taraval St,,false,Planning Filed,2-9,0,0,Mixed Use,NCD,TARAVAL STREET NEIGHBORHOOD COMMERCIAL DISTRICT,50-X,,,"(37.742153000000002, -122.490455)"
Western Addition,1153020,1823 TURK ST,7,7,10/11/2013 12:00:00 AM,BP FILED,false,,,,,201310119178,2 FAMILY DWELLING,"ERECT 4-STORY, TYPE V RESIDENTIAL CONDO.",,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1823 Turk St,,false,BP Filed,2-9,0,0,Mixed Use,NCD,DIVISADERO STREET NEIGHBORHOOD COMMERCIAL DISTRICT,40-X,,,"(37.779662000000002, -122.438864)"
Marina,0528008,1662-1664 UNION ST.,7,4,06/25/2007 12:00:00 AM,BP FILED,true,2007.0598,Demo of existing; construction of new 7 unit four-story building.,APPROVED W/ CON,07/24/2008,200706255058,1 FAMILY DWELLING,"ERECT: 1 4 STORY, 7 UNIT TYPE 5 RESIDENTIAL STRUCTURE.",,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/19/2007,Resident,1664 Union St,,true,BP Filed,2-9,0,0,Mixed Use,NCD,UNION STREET NEIGHBORHOOD COMMERCIAL,40-X,Anand Gohel,Matt Williams,"(37.798317900000001, -122.4266607)"
Potrero Hill,4044003,2146 3RD ST,7,6,01/23/2014 12:00:00 AM,PL FILED,false,2013.1109,"The proposed project would demolish the existing building on the site and construct in its place a residential building approximately 12,000 sf in size and containing 7 residential units, ranging approximately 500 sf to 1,200 sf in size. The proposed bui",,,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/23/2014,Resident,2146 03rd St,,false,Planning Filed,2-9,0,0,Mixed Use,UMU,URBAN MIXED USE,68-X,Mark Holmquist,Mark Holmquist,"(37.762466000000003, -122.388881)"
Mission,3631017,987 DOLORES ST,7,1,05/14/2014 12:00:00 AM,BP REINSTATED,true,,,,,201405064989,1 FAMILY DWELLING,"ERECT 2-STORY, TYPE 5, 0 BASEMENT, SINGLE DWELLING UNIT BUILDING.",REINSTATED,05/14/2014,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,987 Dolores St,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,,,"(37.753599000000001, -122.425146)"
Mission,3547027,80 JULIAN AV,7,7,10/27/2011 12:00:00 AM,BP ISSUED,true,2009.1095,"Lot line adjustment, demo existing residential building,  New construction of Community Facility having housing ground floor with commercial above.",APPR/WC,08/05/2010,201011305795,OFFICE,"ERECT 4 STORIES, TYPE 5, 7 BEDROOMS OUTPATIENT DENTAL/MEDICAL & CONGREGATE RESIDENCE BUILDING.",ISSUED,10/27/2011,N,CASE TRACKING,12900,0,12900,0,0,0,0,12900,0,0,12900,0,0,0,11/30/2009,Mixres,80 Julian Ave,,true,BP Approved/Issued/Re-Instated,2-9,0,-1,Neighborhood Commercial,NCT,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT,45-X,Cort Gross,Cort Gross,"(37.766972000000003, -122.42137)"
Presidio Heights,1069045,2882 -  2890 GEARY BLVD,7,2,02/05/2014 12:00:00 AM,BP ISSUED,true,2011.0830,Rear yard variance,APPR/WC,11/06/2012,201106027305,APARTMENTS,"CONVERSION OF TWO EXISTING OFFICE INTO TWO RESIDENTIAL APARTMENT UNIT, UNIT #1 1,499 SQ FT, UNIT #2",ISSUED,02/05/2014,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/02/2011,Resident,2882 Geary Blvd,,true,BP Approved/Issued/Re-Instated,2-9,0,0,Mixed Use,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X,Lam Chan,Lam Chan,"(37.782293299999999, -122.4499653)"
Mission,3613053,811 TREAT AV,7,2,12/19/2013 12:00:00 AM,PL FILED,false,2013.1853,Conditional Use Authorization and Variance request to add two additional units for a total of 7 units on the property and a variance to the rear yard requirement for the expansion of the existing garage to create an additional parking space.,,,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/19/2013,Resident,811 Treat Ave,,false,Planning Filed,2-9,0,0,Public,P,PUBLIC,40-X,"San Francisco Developers, LLC",Bahman Ghassemzadeh,"(37.757257000000003, -122.413381)"
Western Addition,0856013,126 LAGUNA ST,7,2,03/26/2015 12:00:00 AM,PL APPROVED,true,2014.0965,"To add two dwelling units to an existing five-unit multifamily building.  The units will be located within the existing basement, thereby not expanding the overall depth or width of the existing building.  This project proposes a small expansion to the b",Approved,03/26/2015,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/25/2014,Resident,126 Laguna St,,true,PL Approved,2-9,0,0,Residential,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,40-X,Robert Gilson,Robert Gilson,"(37.772092999999998, -122.425135)"
Inner Richmond,1640051,327 BALBOA ST,6,4,02/26/2015 12:00:00 AM,CONSTRUCTION,true,2011.0209,"Add residential units/ CU for parking V for rear yard, exposure and nonconfomplying sturture",,,201303071701,FOOD/BEVERAGE HNDLNG,"REVISION TO PA# 2011-0128-9269-1ST FL-REMOVE 2 BEDROOMS, ADD STUDY & INCREASE GREAT ROOM. ENLARGE (E",SHEETROCK NAILI,02/26/2015,,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/03/2011,Resident,327 Balboa St,,true,Construction,2-9,0,0,Mixed Use,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",40-X,,,"(37.777213199999998, -122.4624321)"
Russian Hill,0150054,1020 BROADWAY,6,6,03/24/2014 12:00:00 AM,PL APPROVED,true,2006.1202,"Proposed project would involve a three-lot subdivision and the new construction of three two-unit buildings, one on each newly subdivided lot. The buildings would total approximately 19,000 sq. ft., 10 parking spaces, and would be approximately 40 feet i",Approved,03/24/2014,,,,,,,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/03/2007,Resident,1020 Broadway St,,true,PL Approved,2-9,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,Steve Kendrick,Brad Brewster,"(37.797133100000003, -122.4139845)"
Outer Richmond,1402023,3038 CLEMENT ST,6,6,10/27/2014 12:00:00 AM,BP ISSUED,true,2012.0990,To construct 6 unit building over commercial and parking garage. Building height proposed at 40'. Each unit will be 3 bedrooms.,,,201211093910,,DEMOLISH 1 STORY RETAIL BUILDING,ISSUED,10/27/2014,D,PERMIT TRACKING,1186,1186,0,0,0,0,0,-416,0,0,0,0,-416,0,,Mixres,3038 Clement St,,true,BP Approved/Issued/Re-Instated,2-9,0,0,Mixed Use,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",40-X,,,"(37.781857000000002, -122.4920777)"
Inner Sunset,2040001,1701 09TH AV,6,6,01/08/2013 12:00:00 AM,CONSTRUCTION,true,2009.0129,"Demo existing commercial building, subdivide lot into 3 lots and construct three 2-unit residential buildings.",Approved/ceqa,03/26/2009,200904065665,2 FAMILY DWELLING,Multiple Permits,REINSPECT REQUI,01/08/2013,,PERMIT TRACKING,0,0,0,0,0,0,0,4595,0,0,0,0,4595,0,02/24/2009,Resident,1701 09th Ave,,true,Construction,2-9,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.756383, -122.46606199999999)"
Bernal Heights,6574013,3178 MISSION ST,6,3,10/07/2013 12:00:00 AM,PL APPROVED,true,2013.1182,"Demo of one existing cinder block auto repair building. Expand the ground floor for commercial use; add 3 dwelling units, relocate 1 existing dwelling unit and renovate interior of 2 existing dwelling units.",Approved,10/07/2013,,,,,,N,CASE TRACKING,3005,3005,0,0,0,0,0,1311,0,0,0,0,1311,0,08/23/2013,Mixres,3178 Mission St,,true,PL Approved,2-9,0,0,Mixed Use,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X,Mason Kirby,Mason Kirby,"(37.745544000000002, -122.419939)"
Castro/Upper Market,3601071,3927 19TH ST,6,3,08/13/2008 12:00:00 AM,BP FILED,false,2014.0243,"Add a second residential unit at the front of each of three lots that contain one residence at the rear of each lot. Increase number residences from three to six and increase total residential area from 5,132 sf to 22,678 sf.",,,200808139077,1 FAMILY DWELLING,ERECT 5 STORY SINGLE FAMILY DWELLING. (3 STORY OCCUPANCY & 2 BASEMENTS.),,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/14/2014,Resident,3927 19th St,,false,BP Filed,2-9,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,Jeff Burris,Jeff Burris,"(37.759487, -122.430769)"
Outer Mission,3211010A,270 OCEAN AV,6,6,01/30/2015 12:00:00 AM,CONSTRUCTION,true,2007.0125,"The proposal is to construct a four-story residential building on a vacant lot in zoning district NC-1. The proposed building is forty feet in height and consists of six units, ranging in size from 1,162 square feet in area to 1,590 square feet in area.",Approved,05/10/2007,200607186852,APARTMENTS,TO ERECT 4 STORY 6 DWELLING UNITS,OK TO POUR,01/30/2015,,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/31/2007,Resident,270 Ocean Ave,,true,Construction,2-9,0,0,Mixed Use,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",40-X,David Sternberg,Robert Buchbinder,"(37.7232913, -122.442488)"
South of Market,3727045,618 NATOMA ST,6,1,09/13/2014 12:00:00 AM,PL FILED,false,2014.1409,Variance request to the open space requirement to permit the conversion of storage space to habitable space as part of the creation of a new dwelling unit.,,,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/13/2014,Resident,618 Natoma St,,false,Planning Filed,Single Family,0,0,Mixed Use,RED-MX,RESIDENTIAL ENCLAVE-MIXED,40-X,Michael Smith,Javier Solorzano,"(37.778098, -122.410286)"
Mission,3594016,3360 20TH ST,6,6,10/21/2010 12:00:00 AM,BP APPROVED,true,2005.0370,"Conversion of an automotive garage to six 3-BR, 2-BA units on two floors above garage.",Approved,,200512200747,APARTMENTS,TO ERECT 4 STORY 6 DWELLING UNITS,APPROVED,10/21/2010,,PERMIT TRACKING,0,0,0,0,0,0,0,-4750,0,0,0,-4750,0,0,08/23/2005,Resident,3360 20th St,,true,BP Approved/Issued/Re-Instated,2-9,0,0,Mixed Use,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",45-X,,,"(37.759027000000003, -122.41615299999999)"
South of Market,3755096,5 HALLAM ST,6,6,01/09/2015 12:00:00 AM,BP ISSUED,true,,,,,201305036140,APARTMENTS,TO ERECT 4 STORIES OF 6 FAMILY DWELLINGS,ISSUED,01/09/2015,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,5 Hallam St,,true,BP Approved/Issued/Re-Instated,2-9,0,0,Residential,RED,SOUTH OF MARKET RESIDENTIAL ENCLAVE,40-X,,,"(37.775778500000001, -122.40844920000001)"
Outer Richmond,1609021F,700 36TH AV,6,6,09/26/2008 12:00:00 AM,BP FILED,false,2009.0653,,CEQA,,200809262781,APARTMENTS,TO ERECT 6 DWELLING UNIT WITH FOUR STORY NEW BLDG.(COMMERCIAL AND RESIDENTIAL),,,N,PERMIT TRACKING,2000,2000,0,0,0,0,0,2000,0,0,0,0,2000,0,07/17/2009,Mixres,700 36th Ave,,false,BP Filed,2-9,0,0,Mixed Use,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",40-X,,,"(37.775539999999999, -122.496011)"
Bernal Heights,5825007,782-786 ANDOVER ST,6,6,11/08/2013 12:00:00 AM,CONSTRUCTION,true,2006.0825,Construction of three new two-unit buildings - steep grade on lot requires parking variance for lot 9.  Total project would be six new residential units on three vacant lots.,APPROVED,09/22/2009,200603025880,2 FAMILY DWELLING,TO ERECT 3 STORY S FAMILY DWELLING,REINFORCING STE,11/08/2013,,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/10/2006,Resident,782 Andover St,,true,Construction,2-9,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,RICK BRUCE,,"(37.733671000000001, -122.417086)"
South of Market,3510028,949 NATOMA ST,6,6,10/10/2014 12:00:00 AM,BP FILED,false,,,,,201410108646,APARTMENTS,ERECT A FOUR STORY SIX RESIDENTIAL TYPE 5 CONST DWELLING BUILDING. COMPLIANCE W/ ORDINANCENO. 156-13,,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,949 Natoma St,,false,BP Filed,2-9,0,0,,RED-MX,RESIDENTIAL ENCLAVE-MIXED,45-X,,,"(37.773908568499998, -122.415357833)"
Outer Richmond,1407017,2500 CLEMENT ST,6,4,03/05/2013 12:00:00 AM,BP FILED,false,2013.0205,"Removal of two units. The proposed project would provide for continuity of the NCD storefornts & buildings heights, and the elevations will be sculpted to",,,201303051501,APARTMENTS,Multiple Permits,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/26/2013,Resident,2500 Clement St,,false,BP Filed,2-9,0,0,Mixed Use,NCD,OUTER CLEMENT STREET NEIGHBORHOOD COMMERCIAL,40-X,Gabriel  Ng,Gabriel  Ng,"(37.781928999999998, -122.485883)"
Outer Sunset,1809028,3945 JUDAH ST,6,6,12/31/2014 12:00:00 AM,BP FILED,false,,,,,201412314770,APARTMENTS,"TO ERECT 4 STORIES, 1 BASEMENT, 6 UNITS RESIDENTIAL WITH COMMERCIAL BUILDING.",,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,3945 Judah St,,false,BP Filed,2-9,0,0,Mixed Use,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",40-X,,,"(37.760306158399999, -122.50455909999999)"
Ocean View,6941063,1415 OCEAN AV,6,6,08/29/2008 12:00:00 AM,BP FILED,false,,,,,200808290369,APARTMENTS,ADD THREE STORIES ON TOP OF ONE STORY BLDG. - ADD SIX RESIDENTIAL UNITS ON TOP OF COMMERCIAL RETAIL,,,R,PERMIT TRACKING,5285,5285,0,0,0,0,0,0,0,0,0,0,0,0,,Mixres,1415 Ocean Ave,,false,BP Filed,2-9,0,0,Mixed Use,NCT,OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT,45-X,,,"(37.724066000000001, -122.457572)"
Russian Hill,0149010,908 BROADWAY,6,5,04/17/2014 12:00:00 AM,PL FILED,false,2013.1609,"To demolish the existing group housing (2 story over basement) and construct a new building to contain 6 new residential condominium units, with 6 ancillary parking spaces (4 story over basement garage).  The intent is to adjust the current lot dimension",,,,,,,,R,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/17/2014,Resident,908 Broadway St,,false,Planning Filed,2-9,0,0,Residential,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",40-X,Adam McNicol,Adam McNicol,"(37.797286999999997, -122.41194900000001)"
Visitacion Valley,6243019,590 LELAND AVE.,5,5,04/25/2014 12:00:00 AM,BP FILED,false,2014.0936,"Demolition of church; subdivision into five lots; and construction of five single-family homes (579, 583, & 589 Raymond Ave. and 586 & 590 Leland Ave.).",,,201404254156,1 FAMILY DWELLING,"(583 RAYMOND ST) TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.",,,N,CASE TRACKING,0,0,0,0,0,0,0,-8416,-8416,0,0,0,0,0,06/17/2014,Resident,590 Leland Ave,,false,BP Filed,2-9,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,Victor  Quan,Victor  Quan,"(37.714663999999999, -122.41536499999999)"
Castro/Upper Market,3537087,435 DUBOCE AV,5,3,08/10/2011 12:00:00 AM,PL APPROVED,true,2011.0237,Addition of 6th dwelling unit without sufficient exposure,Approved,08/10/2011,200803207576,APARTMENTS,ADDING 3 RESIDENTIAL DWELLING UNITS TO THE BUILDING. MAINTAINING THE CURRENT COMMERCIAL PERMITTED US,START WORK,08/16/2010,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/10/2011,Resident,435 Duboce Ave,,true,PL Approved,2-9,0,0,Residential,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,40-X,,,"(37.769321300000001, -122.42983479999999)"
Potrero Hill,3985027,1239 17TH ST,5,3,11/21/2013 12:00:00 AM,BP FILED,false,,,,,201311212547,APARTMENTS,ADD FOUR RESIDENTIAL UNITS ON TOP OF EXISTING IRON WORK SHOP.CONVERT EXISTING OFFICE TO ANOTHER RESI,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1239 17th St,,false,BP Filed,2-9,0,0,Mixed Use,UMU,URBAN MIXED USE,40-X,,,"(37.765228999999998, -122.39623)"
South of Market,3731102,48 HARRIET ST,4,4,06/06/2008 12:00:00 AM,BP FILED,false,,,,,200806063801,APARTMENTS,ERECT A 4 STORIES 4 UNITS RESIDENTIAL DWELLINGS,,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,48 Harriet St,,false,BP Filed,2-9,0,0,Residential,RED,SOUTH OF MARKET RESIDENTIAL ENCLAVE,45-X,,,"(37.778626000000003, -122.407056)"
Twin Peaks,2845005,70 CRESTLINE DR,5,5,05/15/2013 12:00:00 AM,BP ISSUED,true,2012.0859,To subdivide the existing lot into two lots and construct a new four-family dwelling on the proposed vacant lot.,,,200908255545,APARTMENTS,"TO ERECT 4 STORY TYPE 5, 5 DWELLING UNITS",ISSUED,05/15/2013,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/05/2012,Resident,70 Crestline Dr,,true,BP Approved/Issued/Re-Instated,2-9,0,0,Residential,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,,,"(37.7515334, -122.4461587)"
